timestamp,open,high,low,close,volume
2023-09-18 01:30:00,18069.0390625,18114.8203125,17894.810546875,18073.48046875,0
2023-09-18 02:30:00,18073.2890625,18079.419921875,17998.470703125,18002.310546875,0
2023-09-18 03:30:00,18002.890625,18009.369140625,17990.310546875,18001.51953125,0
2023-09-18 04:30:00,18002.390625,18021.8203125,17964.939453125,17979.669921875,0
2023-09-18 05:30:00,17977.259765625,18035.640625,17976.779296875,18016.0703125,0
2023-09-18 06:30:00,18015.05078125,18021.69921875,17977.830078125,17982.5390625,0
2023-09-18 07:30:00,17982.779296875,17993.400390625,17930.55078125,17930.55078125,0
2023-09-19 01:30:00,17942.0703125,17942.0703125,17832.30078125,17918.919921875,0
2023-09-19 02:30:00,17919.080078125,17981.400390625,17905.810546875,17960.029296875,0
2023-09-19 03:30:00,17960.919921875,17961.419921875,17930.130859375,17933.66015625,0
2023-09-19 04:30:00,17932.939453125,17934.470703125,17879.720703125,17886.169921875,0
2023-09-19 05:30:00,17886.109375,17950.349609375,17881.5,17928.890625,0
2023-09-19 06:30:00,17926.669921875,18004.740234375,17925.76953125,17981.279296875,0
2023-09-19 07:30:00,17979.08984375,17997.169921875,17959.140625,17997.169921875,0
2023-09-20 01:30:00,17939.25,17995.380859375,17881.19921875,17957.75,0
2023-09-20 02:30:00,17957.220703125,17958.1796875,17879.5,17893.5,0
2023-09-20 03:30:00,17893.619140625,17897.9609375,17854.9296875,17862.359375,0
2023-09-20 04:30:00,17864.05078125,17883.029296875,17833.19921875,17875.01953125,0
2023-09-20 05:30:00,17876.630859375,17986.580078125,17875.23046875,17939.470703125,0
2023-09-20 06:30:00,17937.830078125,17941.66015625,17878.48046875,17911.029296875,0
2023-09-20 07:30:00,17911.25,17928.4296875,17885.599609375,17885.599609375,0
2023-09-21 01:30:00,17795.80078125,17823.8203125,17666.490234375,17677.310546875,0
2023-09-21 02:30:00,17677.359375,17690.640625,17648.6796875,17666.310546875,0
2023-09-21 03:30:00,17665.9296875,17669.740234375,17638.19921875,17651.439453125,0
2023-09-21 04:30:00,17650.529296875,17675.279296875,17623.869140625,17657.6796875,0
2023-09-21 05:30:00,17657.609375,17699.900390625,17645.779296875,17684.44921875,0
2023-09-21 06:30:00,17685.279296875,17687.669921875,17627.099609375,17634.98046875,0
2023-09-21 07:30:00,17633.900390625,17665.7890625,17630.439453125,17655.41015625,0
2023-09-22 01:30:00,17578.259765625,17797.810546875,17573.810546875,17757.83984375,0
2023-09-22 02:30:00,17768.419921875,17872.380859375,17737.0,17843.109375,0
2023-09-22 03:30:00,17852.390625,17889.060546875,17845.05078125,17868.6796875,0
2023-09-22 04:30:00,17856.369140625,17868.94921875,17806.5,17822.380859375,0
2023-09-22 05:30:00,17826.279296875,17951.0390625,17810.0703125,17938.5703125,0
2023-09-22 06:30:00,17947.5390625,17977.740234375,17921.640625,17945.3203125,0
2023-09-22 07:30:00,17953.91015625,18078.689453125,17951.630859375,18057.44921875,0
2023-09-25 01:30:00,18046.890625,18046.890625,17817.5,17828.880859375,0
2023-09-25 02:30:00,17827.73046875,17832.439453125,17769.44921875,17823.150390625,0
2023-09-25 03:30:00,17823.9609375,17842.220703125,17816.720703125,17833.189453125,0
2023-09-25 04:30:00,17829.130859375,17847.91015625,17818.669921875,17842.560546875,0
2023-09-25 05:30:00,17841.630859375,17846.48046875,17734.169921875,17735.220703125,0
2023-09-25 06:30:00,17734.349609375,17783.94921875,17728.939453125,17780.73046875,0
2023-09-25 07:30:00,17777.189453125,17784.98046875,17722.490234375,17729.2890625,0
2023-09-26 01:30:00,17661.849609375,17718.1796875,17571.94921875,17638.98046875,0
2023-09-26 02:30:00,17640.16015625,17642.25,17556.30078125,17569.619140625,0
2023-09-26 03:30:00,17568.91015625,17593.009765625,17568.060546875,17580.029296875,0
2023-09-26 04:30:00,17576.130859375,17581.0390625,17525.119140625,17564.05078125,0
2023-09-26 05:30:00,17565.4609375,17604.869140625,17539.189453125,17551.060546875,0
2023-09-26 06:30:00,17548.83984375,17551.119140625,17379.439453125,17450.400390625,0
2023-09-26 07:30:00,17449.8203125,17484.390625,17438.94921875,17466.900390625,0
2023-09-27 01:30:00,17472.109375,17655.310546875,17472.109375,17599.5703125,0
2023-09-27 02:30:00,17599.7109375,17631.630859375,17517.83984375,17629.009765625,0
2023-09-27 03:30:00,17627.869140625,17647.330078125,17576.0,17577.9296875,0
2023-09-27 04:30:00,17580.759765625,17587.91015625,17534.220703125,17560.08984375,0
2023-09-27 05:30:00,17560.16015625,17603.5390625,17544.26953125,17603.0390625,0
2023-09-27 06:30:00,17600.580078125,17621.619140625,17566.810546875,17599.91015625,0
2023-09-27 07:30:00,17602.0703125,17611.869140625,17563.0,17611.869140625,0
2023-09-28 01:30:00,17587.080078125,17627.73046875,17421.779296875,17424.640625,0
2023-09-28 02:30:00,17433.23046875,17464.640625,17380.990234375,17398.380859375,0
2023-09-28 03:30:00,17404.0390625,17429.4609375,17388.220703125,17429.4609375,0
2023-09-28 04:30:00,17420.30078125,17467.310546875,17406.189453125,17454.30078125,0
2023-09-28 05:30:00,17464.939453125,17468.490234375,17353.970703125,17368.900390625,0
