engine,status,rows,test_rows,balanced_accuracy,brier,roc_auc,pr_auc,mae_return_pct,mean_actual_return_pct,mean_pred_return_pct
MR,OK,1035,207,0.6002153154839918,0.23991852258275234,0.6653248455345441,0.6950173385466336,0.9394293247581927,-0.09425120772946859,0.015105162911924706
RUNNER,OK,604,120,0.5815147625160462,0.23842648927535834,0.6020539152759948,0.7288308677572548,1.1728337060979175,0.9095833333333334,0.5118661572136622
TF,OK,41,8,0.5,0.2434,0.5,0.375,1.15625,-0.59625,-0.5
MR_FAIL_RISK,OK,1035,207,0.7156928694983663,0.19595611734068363,0.7695560253699788,0.6780437642065246,,,
