asset,direction,signal_time,reference_entry_price,p_mr_win,p_mr_fail,pred_mr_return_pct,risk_status,stop_status,position_size
NZDUSD,LONG,2026-09-11 05:00:00,0.5834986567497253,0.5756109208019498,0.44445875042751903,0.26838874229760923,max 0.5% equity,MANUAL_STOP_REQUIRED,POSITION_SIZE_PENDING_STOP
GBPAUD,SHORT,2026-09-11 05:00:00,1.884369969367981,0.8025102565820016,0.07541178701891328,0.20618289782867283,max 0.5% equity,MANUAL_STOP_REQUIRED,POSITION_SIZE_PENDING_STOP
SOLUSD,LONG,2026-09-11 05:00:00,99.83000183105467,0.5471861913065553,0.3072139312719122,0.2831670844362171,max 0.5% equity,MANUAL_STOP_REQUIRED,POSITION_SIZE_PENDING_STOP
