Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
239,Exit short,2025-07-29 19:00,RUN EXIT | IN:TREND | OUT:MR,3322.998,0.8,2742.4688,84.07,3.07,0,101.3,3.69,-1.52,-0.06,534.76,0.53,93
239,Entry short,2025-07-23 18:00,MR-S | IN:TREND,3428.086,0.8,2742.4688,84.07,3.07,0,101.3,3.69,-1.52,-0.06,534.76,0.53,93
240,Exit long,2025-08-01 07:00,MR FAIL | IN:MR | OUT:MR,3290.32,1,3296.287,-5.97,-0.18,0,14.83,0.45,-10.07,-0.31,528.79,0.53,13
240,Entry long,2025-07-31 17:00,MR-L | IN:MR,3296.287,1,3296.287,-5.97,-0.18,0,14.83,0.45,-10.07,-0.31,528.79,0.53,13
241,Exit long,2025-08-01 22:00,MR TP1 | IN:MR | OUT:TREND,3348.55,0.2,658.8654,10.84,1.65,0,12.18,1.85,-0.25,-0.04,539.64,0.54,6
241,Entry long,2025-08-01 16:00,MR-L | IN:MR,3294.327,0.2,658.8654,10.84,1.65,0,12.18,1.85,-0.25,-0.04,539.64,0.54,6
242,Exit long,2025-08-05 00:00,RUN EXIT | IN:MR | OUT:HYBRID,3373.95,0.8,2635.4616,63.7,2.42,0,72.9,2.77,-1,-0.04,603.34,0.60,31
242,Entry long,2025-08-01 16:00,MR-L | IN:MR,3294.327,0.8,2635.4616,63.7,2.42,0,72.9,2.77,-1,-0.04,603.34,0.60,31
243,Exit short,2025-08-07 20:00,MR FAIL | IN:MR | OUT:MR,3384.675,1,3372.94,-11.73,-0.35,0,1.29,0.04,-20.9,-0.62,591.6,0.59,3
243,Entry short,2025-08-07 17:00,MR-S | IN:MR,3372.94,1,3372.94,-11.73,-0.35,0,1.29,0.04,-20.9,-0.62,591.6,0.59,3
244,Exit short,2025-08-09 01:00,MR FAIL | IN:MR | OUT:MR,3395.442,1,3380.973,-14.47,-0.43,0,6.68,0.20,-23.55,-0.70,577.13,0.58,1
244,Entry short,2025-08-09 00:00,MR-S | IN:MR,3380.973,1,3380.973,-14.47,-0.43,0,6.68,0.20,-23.55,-0.70,577.13,0.58,1
245,Exit short,2025-08-11 14:00,MR TP1 | IN:MR | OUT:MR,3360.17,0.2,676.3206,4.29,0.63,0,4.96,0.73,-0.48,-0.07,581.42,0.58,7
245,Entry short,2025-08-11 07:00,MR-S | IN:MR,3381.603,0.2,676.3206,4.29,0.63,0,4.96,0.73,-0.48,-0.07,581.42,0.58,7
246,Exit short,2025-08-12 13:00,RUN EXIT | IN:MR | OUT:MR,3345.245,0.8,2705.2824,29.09,1.08,0,32.64,1.21,-1.91,-0.07,610.51,0.61,29
246,Entry short,2025-08-11 07:00,MR-S | IN:MR,3381.603,0.8,2705.2824,29.09,1.08,0,32.64,1.21,-1.91,-0.07,610.51,0.61,29
