Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
194,Entry short,2026-03-30 11:00,MR-S | IN:MR,159.794,0.2,31.9588,0.05,0.14,0,0.09,0.29,-0.01,-0.04,11.25,0.01,13
195,Exit short,2026-04-01 23:00,RUN EXIT | IN:MR | OUT:MR,158.553,0.8,127.8352,0.99,0.78,0,1.22,0.95,-0.14,-0.11,12.24,0.01,60
195,Entry short,2026-03-30 11:00,MR-S | IN:MR,159.794,0.8,127.8352,0.99,0.78,0,1.22,0.95,-0.14,-0.11,12.24,0.01,60
196,Exit short,2026-04-07 01:00,MR FAIL | IN:MR | OUT:MR,159.686,1,159.558,-0.13,-0.08,0,0.25,0.16,-0.27,-0.17,12.11,0.01,31
196,Entry short,2026-04-03 18:00,MR-S | IN:MR,159.558,1,159.558,-0.13,-0.08,0,0.25,0.16,-0.27,-0.17,12.11,0.01,31
197,Exit short,2026-04-08 07:00,MR TP1 | IN:MR | OUT:MR,158.69,0.2,31.9234,0.19,0.58,0,0.22,0.67,-0.02,-0.07,12.3,0.01,4
197,Entry short,2026-04-08 03:00,MR-S | IN:MR,159.617,0.2,31.9234,0.19,0.58,0,0.22,0.67,-0.02,-0.07,12.3,0.01,4
198,Exit short,2026-04-09 03:00,RUN EXIT | IN:MR | OUT:MR,158.559,0.8,127.6936,0.85,0.66,0,1.39,1.09,-0.09,-0.07,13.14,0.01,24
198,Entry short,2026-04-08 03:00,MR-S | IN:MR,159.617,0.8,127.6936,0.85,0.66,0,1.39,1.09,-0.09,-0.07,13.14,0.01,24
199,Exit short,2026-04-14 13:00,MR TP1 | IN:MR | OUT:HYBRID,159.159,0.2,31.8656,0.03,0.11,0,0.07,0.23,-0.03,-0.08,13.18,0.01,12
199,Entry short,2026-04-14 01:00,MR-S | IN:MR,159.328,0.2,31.8656,0.03,0.11,0,0.07,0.23,-0.03,-0.08,13.18,0.01,12
200,Exit short,2026-04-15 11:00,RUN EXIT | IN:MR | OUT:MR,158.984,0.8,127.4624,0.28,0.22,0,0.58,0.46,-0.11,-0.08,13.45,0.01,34
200,Entry short,2026-04-14 01:00,MR-S | IN:MR,159.328,0.8,127.4624,0.28,0.22,0,0.58,0.46,-0.11,-0.08,13.45,0.01,34
201,Exit long,2026-04-16 23:00,MR TP1 | IN:MR | OUT:MR,159.176,0.2,31.8076,0.03,0.09,0,0.05,0.17,-0.03,-0.10,13.48,0.01,7
201,Entry long,2026-04-16 16:00,MR-L | IN:MR,159.038,0.2,31.8076,0.03,0.09,0,0.05,0.17,-0.03,-0.10,13.48,0.01,7
202,Exit long,2026-04-17 19:00,RUN EXIT | IN:MR | OUT:MR,158.417,0.8,127.2304,-0.5,-0.39,0,0.39,0.31,-0.5,-0.40,12.98,0.01,27
202,Entry long,2026-04-16 16:00,MR-L | IN:MR,159.038,0.8,127.2304,-0.5,-0.39,0,0.39,0.31,-0.5,-0.40,12.98,0.01,27
203,Exit long,2026-04-21 15:00,MR TP1 | IN:MR | OUT:MR,159.177,0.2,31.774,0.06,0.19,0,0.07,0.22,-0.06,-0.20,13.04,0.01,26
203,Entry long,2026-04-20 13:00,MR-L | IN:MR,158.87,0.2,31.774,0.06,0.19,0,0.07,0.22,-0.06,-0.20,13.04,0.01,26
204,Exit long,2026-04-22 16:00,RUN EXIT | IN:MR | OUT:MR,159.344,0.8,127.096,0.38,0.30,0,0.62,0.48,-0.25,-0.20,13.42,0.01,51
204,Entry long,2026-04-20 13:00,MR-L | IN:MR,158.87,0.8,127.096,0.38,0.30,0,0.62,0.48,-0.25,-0.20,13.42,0.01,51
205,Exit short,2026-04-24 02:00,MR FAIL | IN:MR | OUT:MR,159.699,1,159.442,-0.26,-0.16,0,0.02,0.01,-0.4,-0.25,13.17,0.01,4
205,Entry short,2026-04-23 22:00,MR-S | IN:MR,159.442,1,159.442,-0.26,-0.16,0,0.02,0.01,-0.4,-0.25,13.17,0.01,4
206,Exit short,2026-04-27 08:00,MR TP1 | IN:MR | OUT:MR,159.328,0.2,31.9106,0.05,0.14,0,0.06,0.19,-0.02,-0.06,13.21,0.01,13
206,Entry short,2026-04-24 19:00,MR-S | IN:MR,159.553,0.2,31.9106,0.05,0.14,0,0.06,0.19,-0.02,-0.06,13.21,0.01,13
207,Exit short,2026-04-28 04:00,RUN EXIT | IN:MR | OUT:MR,159.364,0.8,127.6424,0.15,0.12,0,0.37,0.29,-0.08,-0.06,13.36,0.01,33
207,Entry short,2026-04-24 19:00,MR-S | IN:MR,159.553,0.8,127.6424,0.15,0.12,0,0.37,0.29,-0.08,-0.06,13.36,0.01,33
208,Exit short,2026-04-30 19:00,MR TP1 | IN:HYBRID | OUT:TREND,156.823,0.2,31.9168,0.55,1.73,0,0.81,2.52,-0.002,-0.01,13.91,0.01,4
208,Entry short,2026-04-30 15:00,MR-S | IN:HYBRID,159.584,0.2,31.9168,0.55,1.73,0,0.81,2.52,-0.002,-0.01,13.91,0.01,4
209,Exit short,2026-05-01 16:00,RUN EXIT | IN:HYBRID | OUT:MR,156.578,0.8,127.6672,2.4,1.88,0,3.28,2.57,-0.01,-0.01,16.32,0.02,25
209,Entry short,2026-04-30 15:00,MR-S | IN:HYBRID,159.584,0.8,127.6672,2.4,1.88,0,3.28,2.57,-0.01,-0.01,16.32,0.02,25
210,Exit short,2026-05-06 15:00,MR TP1 | IN:HYBRID | OUT:TREND,155.98,0.2,31.1862,-0.01,-0.03,0,0.04,0.13,-0.13,-0.41,16.31,0.02,4
