Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-15 15:00,MR TP1 | IN:HYBRID | OUT:HYBRID,157.113,0.2,31.4692,0.05,0.15,0,0.13,0.40,0,0.00,0.05,0.00,2
1,Entry short,2025-01-15 13:00,MR-S | IN:HYBRID,157.346,0.2,31.4692,0.05,0.15,0,0.13,0.40,0,0.00,0.05,0.00,2
2,Exit short,2025-01-16 20:00,RUN EXIT | IN:HYBRID | OUT:MR,155.906,0.8,125.8768,1.15,0.92,0,1.71,1.36,0,0.00,1.2,0.00,31
2,Entry short,2025-01-15 13:00,MR-S | IN:HYBRID,157.346,0.8,125.8768,1.15,0.92,0,1.71,1.36,0,0.00,1.2,0.00,31
3,Exit short,2025-01-21 03:00,MR TP1 | IN:MR | OUT:MR,155.613,0.2,31.1282,0.01,0.02,0,0.03,0.10,-0.001,0.00,1.2,0.00,1
3,Entry short,2025-01-21 02:00,MR-S | IN:MR,155.641,0.2,31.1282,0.01,0.02,0,0.03,0.10,-0.001,0.00,1.2,0.00,1
4,Exit short,2025-01-21 19:00,RUN EXIT | IN:MR | OUT:MR,155.82,0.8,124.5128,-0.14,-0.12,0,0.69,0.56,-0.47,-0.38,1.06,0.00,17
4,Entry short,2025-01-21 02:00,MR-S | IN:MR,155.641,0.8,124.5128,-0.14,-0.12,0,0.69,0.56,-0.47,-0.38,1.06,0.00,17
5,Exit long,2025-01-22 18:00,MR TP1 | IN:MR | OUT:MR,155.873,0.2,31.1842,-0.01,-0.03,0,0.04,0.12,-0.07,-0.24,1.05,0.00,8
5,Entry long,2025-01-22 10:00,MR-L | IN:MR,155.921,0.2,31.1842,-0.01,-0.03,0,0.04,0.12,-0.07,-0.24,1.05,0.00,8
6,Exit long,2025-01-23 19:00,RUN EXIT | IN:MR | OUT:MR,156.399,0.8,124.7368,0.38,0.31,0,0.67,0.53,-0.3,-0.24,1.43,0.00,33
6,Entry long,2025-01-22 10:00,MR-L | IN:MR,155.921,0.8,124.7368,0.38,0.31,0,0.67,0.53,-0.3,-0.24,1.43,0.00,33
7,Exit long,2025-01-27 15:00,MR FAIL | IN:MR | OUT:MR,155.134,1,156.065,-0.93,-0.60,0,0.18,0.12,-1.02,-0.65,0.5,0.00,3
7,Entry long,2025-01-27 12:00,MR-L | IN:MR,156.065,1,156.065,-0.93,-0.60,0,0.18,0.12,-1.02,-0.65,0.5,0.00,3
8,Exit long,2025-01-28 23:00,MR TP1 | IN:MR | OUT:HYBRID,155.655,0.2,31.098,0.03,0.11,0,0.1,0.32,-0.09,-0.28,0.54,0.00,15
8,Entry long,2025-01-28 08:00,MR-L | IN:MR,155.49,0.2,31.098,0.03,0.11,0,0.1,0.32,-0.09,-0.28,0.54,0.00,15
9,Exit long,2025-01-29 15:00,RUN EXIT | IN:MR | OUT:MR,155.15,0.8,124.392,-0.27,-0.22,0,0.39,0.32,-0.39,-0.31,0.26,0.00,31
9,Entry long,2025-01-28 08:00,MR-L | IN:MR,155.49,0.8,124.392,-0.27,-0.22,0,0.39,0.32,-0.39,-0.31,0.26,0.00,31
10,Exit long,2025-02-01 03:00,MR TP1 | IN:MR | OUT:HYBRID,155.092,0.2,30.9388,0.08,0.26,0,0.11,0.34,-0.04,-0.14,0.34,0.00,14
10,Entry long,2025-01-31 13:00,MR-L | IN:MR,154.694,0.2,30.9388,0.08,0.26,0,0.11,0.34,-0.04,-0.14,0.34,0.00,14
11,Exit long,2025-02-03 20:00,RUN EXIT | IN:MR | OUT:MR,154.651,0.8,123.7552,-0.03,-0.03,0,0.95,0.77,-0.32,-0.26,0.31,0.00,31
11,Entry long,2025-01-31 13:00,MR-L | IN:MR,154.694,0.8,123.7552,-0.03,-0.03,0,0.95,0.77,-0.32,-0.26,0.31,0.00,31
12,Exit short,2025-02-05 02:00,MR TP1 | IN:HYBRID | OUT:MR,154.288,0.2,30.9356,0.08,0.25,0,0.1,0.33,-0.0002,0.00,0.39,0.00,4
12,Entry short,2025-02-04 22:00,MR-S | IN:HYBRID,154.678,0.2,30.9356,0.08,0.25,0,0.1,0.33,-0.0002,0.00,0.39,0.00,4
13,Exit short,2025-02-06 06:00,RUN EXIT | IN:HYBRID | OUT:TREND,152.652,0.8,123.7424,1.62,1.31,0,2.06,1.66,-0.001,0.00,2.01,0.00,32
13,Entry short,2025-02-04 22:00,MR-S | IN:HYBRID,154.678,0.8,123.7424,1.62,1.31,0,2.06,1.66,-0.001,0.00,2.01,0.00,32
14,Exit long,2025-02-08 01:00,MR FAIL | IN:HYBRID | OUT:MR,151.387,1,151.823,-0.44,-0.29,0,0.61,0.40,-0.89,-0.59,1.57,0.00,11
14,Entry long,2025-02-07 14:00,MR-L | IN:HYBRID,151.823,1,151.823,-0.44,-0.29,0,0.61,0.40,-0.89,-0.59,1.57,0.00,11
15,Exit long,2025-02-11 10:00,MR TP1 | IN:MR | OUT:MR,151.98,0.2,30.3754,0.02,0.07,0,0.13,0.43,-0.06,-0.20,1.59,0.00,28
15,Entry long,2025-02-10 06:00,MR-L | IN:MR,151.877,0.2,30.3754,0.02,0.07,0,0.13,0.43,-0.06,-0.20,1.59,0.00,28
16,Exit long,2025-02-13 11:00,RUN EXIT | IN:MR | OUT:HYBRID,154.362,0.8,121.5016,1.99,1.64,0,2.34,1.93,-0.25,-0.20,3.58,0.00,77
16,Entry long,2025-02-10 06:00,MR-L | IN:MR,151.877,0.8,121.5016,1.99,1.64,0,2.34,1.93,-0.25,-0.20,3.58,0.00,77
17,Exit long,2025-02-19 22:00,MR FAIL | IN:MR | OUT:MR,151.414,1,151.732,-0.32,-0.21,0,0.58,0.38,-0.49,-0.32,3.26,0.00,38
17,Entry long,2025-02-18 08:00,MR-L | IN:MR,151.732,1,151.732,-0.32,-0.21,0,0.58,0.38,-0.49,-0.32,3.26,0.00,38
18,Exit long,2025-02-22 03:00,MR FAIL | IN:MR | OUT:MR,149.135,1,150.479,-1.34,-0.89,0,0.18,0.12,-1.56,-1.03,1.92,0.00,18
18,Entry long,2025-02-21 09:00,MR-L | IN:MR,150.479,1,150.479,-1.34,-0.89,0,0.18,0.12,-1.56,-1.03,1.92,0.00,18
19,Exit long,2025-02-25 23:00,MR FAIL | IN:HYBRID | OUT:MR,149.095,1,149.626,-0.53,-0.35,0,0.68,0.45,-1.06,-0.71,1.39,0.00,30
19,Entry long,2025-02-24 17:00,MR-L | IN:HYBRID,149.626,1,149.626,-0.53,-0.35,0,0.68,0.45,-1.06,-0.71,1.39,0.00,30
20,Exit long,2025-02-27 02:00,MR FAIL | IN:MR | OUT:MR,148.84,1,149.573,-0.73,-0.49,0,0.31,0.21,-0.76,-0.51,0.65,0.00,13
20,Entry long,2025-02-26 13:00,MR-L | IN:MR,149.573,1,149.573,-0.73,-0.49,0,0.31,0.21,-0.76,-0.51,0.65,0.00,13
21,Exit long,2025-02-27 19:00,MR TP1 | IN:MR | OUT:MR,149.657,0.2,29.9436,-0.01,-0.04,0,0.05,0.17,-0.03,-0.11,0.64,0.00,4
21,Entry long,2025-02-27 15:00,MR-L | IN:MR,149.718,0.2,29.9436,-0.01,-0.04,0,0.05,0.17,-0.03,-0.11,0.64,0.00,4
22,Exit long,2025-03-03 11:00,RUN EXIT | IN:MR | OUT:MR,150.338,0.8,119.7744,0.5,0.41,0,1.04,0.87,-0.49,-0.41,1.14,0.00,44
22,Entry long,2025-02-27 15:00,MR-L | IN:MR,149.718,0.8,119.7744,0.5,0.41,0,1.04,0.87,-0.49,-0.41,1.14,0.00,44
23,Exit long,2025-03-06 00:00,MR FAIL | IN:MR | OUT:MR,148.861,1,149.736,-0.87,-0.58,0,0.45,0.30,-1.34,-0.90,0.26,0.00,19
23,Entry long,2025-03-05 05:00,MR-L | IN:MR,149.736,1,149.736,-0.87,-0.58,0,0.45,0.30,-1.34,-0.90,0.26,0.00,19
24,Exit long,2025-03-06 13:00,MR FAIL | IN:MR | OUT:MR,148.785,1,149.194,-0.41,-0.27,0,0.03,0.02,-0.45,-0.30,-0.15,0.00,2
24,Entry long,2025-03-06 11:00,MR-L | IN:MR,149.194,1,149.194,-0.41,-0.27,0,0.03,0.02,-0.45,-0.30,-0.15,0.00,2
25,Exit long,2025-03-07 20:00,MR FAIL | IN:MR | OUT:MR,147.231,1,147.748,-0.52,-0.35,0,0.22,0.15,-0.63,-0.43,-0.66,0.00,1
25,Entry long,2025-03-07 19:00,MR-L | IN:MR,147.748,1,147.748,-0.52,-0.35,0,0.22,0.15,-0.63,-0.43,-0.66,0.00,1
26,Exit long,2025-03-10 18:00,MR FAIL | IN:MR | OUT:MR,147.127,1,147.978,-0.85,-0.58,0,0.22,0.15,-1.12,-0.75,-1.51,0.00,18
26,Entry long,2025-03-08 01:00,MR-L | IN:MR,147.978,1,147.978,-0.85,-0.58,0,0.22,0.15,-1.12,-0.75,-1.51,0.00,18
27,Exit long,2025-03-11 05:00,MR FAIL | IN:MR | OUT:MR,146.991,1,147.153,-0.16,-0.11,0,0.03,0.02,-0.2,-0.14,-1.68,0.00,1
27,Entry long,2025-03-11 04:00,MR-L | IN:MR,147.153,1,147.153,-0.16,-0.11,0,0.03,0.02,-0.2,-0.14,-1.68,0.00,1
28,Exit long,2025-03-11 07:00,MR FAIL | IN:MR | OUT:MR,146.749,1,147.079,-0.33,-0.22,0,0.02,0.01,-0.54,-0.37,-2.01,0.00,1
28,Entry long,2025-03-11 06:00,MR-L | IN:MR,147.079,1,147.079,-0.33,-0.22,0,0.02,0.01,-0.54,-0.37,-2.01,0.00,1
29,Exit long,2025-03-12 04:00,MR TP1 | IN:MR | OUT:MR,147.716,0.2,29.4446,0.1,0.33,0,0.18,0.61,-0.09,-0.32,-1.91,0.00,16
29,Entry long,2025-03-11 12:00,MR-L | IN:MR,147.223,0.2,29.4446,0.1,0.33,0,0.18,0.61,-0.09,-0.32,-1.91,0.00,16
30,Exit long,2025-03-13 05:00,RUN EXIT | IN:MR | OUT:MR,148.227,0.8,117.7784,0.8,0.68,0,1.58,1.34,-0.37,-0.32,-1.1,0.00,41
30,Entry long,2025-03-11 12:00,MR-L | IN:MR,147.223,0.8,117.7784,0.8,0.68,0,1.58,1.34,-0.37,-0.32,-1.1,0.00,41
31,Exit short,2025-03-18 00:00,MR FAIL | IN:MR | OUT:MR,148.99,1,148.557,-0.43,-0.29,0,0.04,0.03,-0.47,-0.32,-1.54,0.00,2
31,Entry short,2025-03-17 22:00,MR-S | IN:MR,148.557,1,148.557,-0.43,-0.29,0,0.04,0.03,-0.47,-0.32,-1.54,0.00,2
32,Exit short,2025-03-19 20:00,MR FAIL | IN:MR | OUT:MR,150.08,1,149.252,-0.83,-0.55,0,0.15,0.10,-0.86,-0.57,-2.37,0.00,20
32,Entry short,2025-03-19 00:00,MR-S | IN:MR,149.252,1,149.252,-0.83,-0.55,0,0.15,0.10,-0.86,-0.57,-2.37,0.00,20
33,Exit short,2025-03-20 08:00,MR TP1 | IN:MR | OUT:MR,148.305,0.2,29.7658,0.1,0.35,0,0.13,0.42,-0.06,-0.21,-2.26,0.00,7
33,Entry short,2025-03-20 01:00,MR-S | IN:MR,148.829,0.2,29.7658,0.1,0.35,0,0.13,0.42,-0.06,-0.21,-2.26,0.00,7
34,Exit short,2025-03-21 03:00,RUN EXIT | IN:MR | OUT:MR,148.779,0.8,119.0632,0.04,0.03,0,0.52,0.44,-0.25,-0.21,-2.22,0.00,26
34,Entry short,2025-03-20 01:00,MR-S | IN:MR,148.829,0.8,119.0632,0.04,0.03,0,0.52,0.44,-0.25,-0.21,-2.22,0.00,26
35,Exit short,2025-03-26 21:00,MR FAIL | IN:HYBRID | OUT:HYBRID,150.558,1,150.209,-0.35,-0.23,0,0.66,0.44,-0.42,-0.28,-2.57,0.00,28
35,Entry short,2025-03-25 17:00,MR-S | IN:HYBRID,150.209,1,150.209,-0.35,-0.23,0,0.66,0.44,-0.42,-0.28,-2.57,0.00,28
36,Exit long,2025-03-27 08:00,TF EXIT | IN:HYBRID | OUT:MR,150.124,1,150.558,-0.43,-0.29,0,0.19,0.13,-0.47,-0.31,-3,0.00,11
36,Entry long,2025-03-26 21:00,TF-L | IN:HYBRID,150.558,1,150.558,-0.43,-0.29,0,0.19,0.13,-0.47,-0.31,-3,0.00,11
37,Exit short,2025-03-27 17:00,MR FAIL | IN:MR | OUT:MR,150.929,1,150.124,-0.8,-0.54,0,0.07,0.04,-0.86,-0.57,-3.81,0.00,9
37,Entry short,2025-03-27 08:00,MR-S | IN:MR,150.124,1,150.124,-0.8,-0.54,0,0.07,0.04,-0.86,-0.57,-3.81,0.00,9
38,Exit short,2025-03-29 00:00,MR TP1 | IN:MR | OUT:HYBRID,149.987,0.2,30.0794,0.08,0.27,0,0.11,0.36,-0.11,-0.35,-3.73,0.00,10
38,Entry short,2025-03-28 14:00,MR-S | IN:MR,150.397,0.2,30.0794,0.08,0.27,0,0.11,0.36,-0.11,-0.35,-3.73,0.00,10
39,Exit short,2025-03-31 22:00,RUN EXIT | IN:MR | OUT:MR,149.91,0.8,120.3176,0.39,0.32,0,1.36,1.13,-0.42,-0.35,-3.34,0.00,32
39,Entry short,2025-03-28 14:00,MR-S | IN:MR,150.397,0.8,120.3176,0.39,0.32,0,1.36,1.13,-0.42,-0.35,-3.34,0.00,32
40,Exit long,2025-04-02 19:00,MR FAIL | IN:MR | OUT:MR,149.178,1,149.615,-0.44,-0.29,0,0.39,0.26,-0.51,-0.34,-3.77,0.00,16
40,Entry long,2025-04-02 03:00,MR-L | IN:MR,149.615,1,149.615,-0.44,-0.29,0,0.39,0.26,-0.51,-0.34,-3.77,0.00,16
41,Exit long,2025-04-03 00:00,MR TP1 | IN:MR | OUT:MR,150.137,0.2,29.9984,0.03,0.10,0,0.05,0.17,-0.01,-0.03,-3.74,0.00,2
41,Entry long,2025-04-02 22:00,MR-L | IN:MR,149.992,0.2,29.9984,0.03,0.10,0,0.05,0.17,-0.01,-0.03,-3.74,0.00,2
42,Exit long,2025-04-03 04:00,RUN EXIT | IN:MR | OUT:MR,148.67,0.8,119.9936,-1.06,-0.88,0,0.4,0.33,-1.08,-0.90,-4.8,0.00,6
42,Entry long,2025-04-02 22:00,MR-L | IN:MR,149.992,0.8,119.9936,-1.06,-0.88,0,0.4,0.33,-1.08,-0.90,-4.8,0.00,6
43,Exit long,2025-04-08 00:00,MR TP1 | IN:HYBRID | OUT:MR,147.94,0.2,29.1266,0.46,1.58,0,0.5,1.73,-0.22,-0.75,-4.34,0.00,43
43,Entry long,2025-04-04 05:00,MR-L | IN:HYBRID,145.633,0.2,29.1266,0.46,1.58,0,0.5,1.73,-0.22,-0.75,-4.34,0.00,43
44,Exit long,2025-04-08 19:00,RUN EXIT | IN:HYBRID | OUT:MR,146.826,0.8,116.5064,0.95,0.82,0,2.01,1.73,-0.87,-0.75,-3.39,0.00,62
44,Entry long,2025-04-04 05:00,MR-L | IN:HYBRID,145.633,0.8,116.5064,0.95,0.82,0,2.01,1.73,-0.87,-0.75,-3.39,0.00,62
45,Exit long,2025-04-10 10:00,MR TP1 | IN:MR | OUT:MR,146.831,0.2,29.5904,-0.22,-0.76,0,0.01,0.04,-0.27,-0.91,-3.61,0.00,8
45,Entry long,2025-04-10 02:00,MR-L | IN:MR,147.952,0.2,29.5904,-0.22,-0.76,0,0.01,0.04,-0.27,-0.91,-3.61,0.00,8
46,Exit long,2025-04-10 20:00,RUN EXIT | IN:MR | OUT:MR,144.814,0.8,118.3616,-2.51,-2.12,0,0.05,0.04,-2.53,-2.14,-6.12,-0.01,18
46,Entry long,2025-04-10 02:00,MR-L | IN:MR,147.952,0.8,118.3616,-2.51,-2.12,0,0.05,0.04,-2.53,-2.14,-6.12,-0.01,18
47,Exit long,2025-04-16 12:00,MR FAIL | IN:MR | OUT:HYBRID,142.148,1,143.806,-1.66,-1.15,0,0.28,0.19,-1.71,-1.19,-7.78,-0.01,59
47,Entry long,2025-04-12 01:00,MR-L | IN:MR,143.806,1,143.806,-1.66,-1.15,0,0.28,0.19,-1.71,-1.19,-7.78,-0.01,59
48,Exit long,2025-04-18 06:00,MR FAIL | IN:MR | OUT:MR,142.333,1,142.739,-0.41,-0.28,0,0.35,0.24,-0.84,-0.59,-8.18,-0.01,18
48,Entry long,2025-04-17 12:00,MR-L | IN:MR,142.739,1,142.739,-0.41,-0.28,0,0.35,0.24,-0.84,-0.59,-8.18,-0.01,18
49,Exit long,2025-04-19 01:00,MR FAIL | IN:MR | OUT:MR,142.173,1,142.375,-0.2,-0.14,0,0.02,0.02,-0.26,-0.18,-8.39,-0.01,12
49,Entry long,2025-04-18 13:00,MR-L | IN:MR,142.375,1,142.375,-0.2,-0.14,0,0.02,0.02,-0.26,-0.18,-8.39,-0.01,12
50,Exit long,2025-04-23 07:00,MR TP1 | IN:TREND | OUT:MR,142.086,0.2,28.1724,0.24,0.87,0,0.47,1.67,-0.2,-0.69,-8.14,-0.01,29
50,Entry long,2025-04-22 02:00,MR-L | IN:TREND,140.862,0.2,28.1724,0.24,0.87,0,0.47,1.67,-0.2,-0.69,-8.14,-0.01,29
51,Exit long,2025-04-24 14:00,RUN EXIT | IN:TREND | OUT:HYBRID,142.581,0.8,112.6896,1.38,1.22,0,2.17,1.92,-0.78,-0.69,-6.77,-0.01,60
51,Entry long,2025-04-22 02:00,MR-L | IN:TREND,140.862,0.8,112.6896,1.38,1.22,0,2.17,1.92,-0.78,-0.69,-6.77,-0.01,60
52,Exit short,2025-04-28 13:00,MR FAIL | IN:MR | OUT:MR,143.834,1,143.494,-0.34,-0.24,0,0,0.00,-0.36,-0.25,-7.11,-0.01,1
52,Entry short,2025-04-28 12:00,MR-S | IN:MR,143.494,1,143.494,-0.34,-0.24,0,0,0.00,-0.36,-0.25,-7.11,-0.01,1
53,Exit short,2025-04-29 02:00,MR TP1 | IN:MR | OUT:TREND,142.067,0.2,28.727,0.31,1.09,0,0.32,1.11,-0.01,-0.05,-6.79,-0.01,12
53,Entry short,2025-04-28 14:00,MR-S | IN:MR,143.635,0.2,28.727,0.31,1.09,0,0.32,1.11,-0.01,-0.05,-6.79,-0.01,12
54,Exit short,2025-04-30 01:00,RUN EXIT | IN:MR | OUT:MR,142.286,0.8,114.908,1.08,0.94,0,1.34,1.16,-0.06,-0.05,-5.71,-0.01,35
54,Entry short,2025-04-28 14:00,MR-S | IN:MR,143.635,0.8,114.908,1.08,0.94,0,1.34,1.16,-0.06,-0.05,-5.71,-0.01,35
55,Exit short,2025-05-05 17:00,MR TP1 | IN:TREND | OUT:MR,143.956,0.2,29.0782,0.29,0.99,0,0.33,1.15,-0.005,-0.02,-5.43,-0.01,30
55,Entry short,2025-05-02 11:00,MR-S | IN:TREND,145.391,0.2,29.0782,0.29,0.99,0,0.33,1.15,-0.005,-0.02,-5.43,-0.01,30
56,Exit short,2025-05-07 12:00,RUN EXIT | IN:TREND | OUT:MR,143.059,0.8,116.3128,1.87,1.60,0,2.43,2.09,-0.02,-0.02,-3.56,0.00,73
56,Entry short,2025-05-02 11:00,MR-S | IN:TREND,145.391,0.8,116.3128,1.87,1.60,0,2.43,2.09,-0.02,-0.02,-3.56,0.00,73
57,Exit short,2025-05-12 08:00,MR FAIL | IN:TREND | OUT:MR,146.093,1,145.293,-0.8,-0.55,0,0.47,0.32,-0.99,-0.68,-4.36,0.00,19
57,Entry short,2025-05-09 13:00,MR-S | IN:TREND,145.293,1,145.293,-0.8,-0.55,0,0.47,0.32,-0.99,-0.68,-4.36,0.00,19
58,Exit short,2025-05-14 16:00,MR TP1 | IN:MR | OUT:TREND,145.884,0.2,29.5634,0.39,1.31,0,0.44,1.50,-0.09,-0.31,-3.97,0.00,28
58,Entry short,2025-05-13 12:00,MR-S | IN:MR,147.817,0.2,29.5634,0.39,1.31,0,0.44,1.50,-0.09,-0.31,-3.97,0.00,28
59,Exit short,2025-05-16 22:00,RUN EXIT | IN:MR | OUT:MR,146.023,0.8,118.2536,1.44,1.21,0,2.32,1.96,-0.37,-0.31,-2.54,0.00,82
59,Entry short,2025-05-13 12:00,MR-S | IN:MR,147.817,0.8,118.2536,1.44,1.21,0,2.32,1.96,-0.37,-0.31,-2.54,0.00,82
60,Exit long,2025-05-20 14:00,MR FAIL | IN:MR | OUT:MR,144.128,1,144.979,-0.85,-0.59,0,0.54,0.37,-0.89,-0.61,-3.39,0.00,8
60,Entry long,2025-05-20 06:00,MR-L | IN:MR,144.979,1,144.979,-0.85,-0.59,0,0.54,0.37,-0.89,-0.61,-3.39,0.00,8
61,Exit long,2025-05-20 21:00,MR FAIL | IN:MR | OUT:MR,144.565,1,144.852,-0.29,-0.20,0,0.01,0.01,-0.34,-0.24,-3.68,0.00,1
61,Entry long,2025-05-20 20:00,MR-L | IN:MR,144.852,1,144.852,-0.29,-0.20,0,0.01,0.01,-0.34,-0.24,-3.68,0.00,1
62,Exit long,2025-05-21 05:00,MR FAIL | IN:MR | OUT:MR,144.426,1,144.719,-0.29,-0.20,0,0.17,0.12,-0.56,-0.39,-3.97,0.00,7
62,Entry long,2025-05-20 22:00,MR-L | IN:MR,144.719,1,144.719,-0.29,-0.20,0,0.17,0.12,-0.56,-0.39,-3.97,0.00,7
63,Exit long,2025-05-23 18:00,MR FAIL | IN:MR | OUT:MR,142.628,1,143.655,-1.03,-0.71,0,0.67,0.47,-1.15,-0.80,-5,0.00,25
63,Entry long,2025-05-22 17:00,MR-L | IN:MR,143.655,1,143.655,-1.03,-0.71,0,0.67,0.47,-1.15,-0.80,-5,0.00,25
64,Exit long,2025-05-27 17:00,MR TP1 | IN:MR | OUT:HYBRID,144.143,0.2,28.579,0.25,0.87,0,0.26,0.90,-0.16,-0.55,-4.75,0.00,26
64,Entry long,2025-05-26 15:00,MR-L | IN:MR,142.895,0.2,28.579,0.25,0.87,0,0.26,0.90,-0.16,-0.55,-4.75,0.00,26
65,Exit long,2025-05-28 15:00,RUN EXIT | IN:MR | OUT:MR,144.04,0.8,114.316,0.92,0.80,0,1.5,1.31,-0.63,-0.55,-3.83,0.00,48
65,Entry long,2025-05-26 15:00,MR-L | IN:MR,142.895,0.8,114.316,0.92,0.80,0,1.5,1.31,-0.63,-0.55,-3.83,0.00,48
66,Exit short,2025-05-30 06:00,MR TP1 | IN:MR | OUT:TREND,143.751,0.2,29.0168,0.27,0.92,0,0.27,0.93,0,0.00,-3.57,0.00,12
66,Entry short,2025-05-29 18:00,MR-S | IN:MR,145.084,0.2,29.0168,0.27,0.92,0,0.27,0.93,0,0.00,-3.57,0.00,12
67,Exit short,2025-06-03 20:00,RUN EXIT | IN:MR | OUT:MR,143.545,0.8,116.0672,1.23,1.06,0,2.16,1.87,0,0.00,-2.33,0.00,74
67,Entry short,2025-05-29 18:00,MR-S | IN:MR,145.084,0.8,116.0672,1.23,1.06,0,2.16,1.87,0,0.00,-2.33,0.00,74
68,Exit short,2025-06-05 04:00,MR TP1 | IN:MR | OUT:HYBRID,142.724,0.2,28.584,0.04,0.14,0,0.06,0.22,-0.001,0.00,-2.3,0.00,6
68,Entry short,2025-06-04 22:00,MR-S | IN:MR,142.92,0.2,28.584,0.04,0.14,0,0.06,0.22,-0.001,0.00,-2.3,0.00,6
69,Exit short,2025-06-05 21:00,RUN EXIT | IN:MR | OUT:MR,143.455,0.8,114.336,-0.43,-0.37,0,0.31,0.27,-0.61,-0.54,-2.72,0.00,23
69,Entry short,2025-06-04 22:00,MR-S | IN:MR,142.92,0.8,114.336,-0.43,-0.37,0,0.31,0.27,-0.61,-0.54,-2.72,0.00,23
70,Exit short,2025-06-10 09:00,MR FAIL | IN:MR | OUT:MR,144.933,1,144.413,-0.52,-0.36,0,0.44,0.30,-0.88,-0.61,-3.24,0.00,21
70,Entry short,2025-06-09 12:00,MR-S | IN:MR,144.413,1,144.413,-0.52,-0.36,0,0.44,0.30,-0.88,-0.61,-3.24,0.00,21
71,Exit short,2025-06-10 23:00,MR FAIL | IN:MR | OUT:MR,144.971,1,144.605,-0.37,-0.25,0,0.17,0.11,-0.44,-0.30,-3.61,0.00,6
71,Entry short,2025-06-10 17:00,MR-S | IN:MR,144.605,1,144.605,-0.37,-0.25,0,0.17,0.11,-0.44,-0.30,-3.61,0.00,6
72,Exit short,2025-06-12 06:00,MR TP1 | IN:MR | OUT:MR,144.183,0.2,28.9614,0.12,0.43,0,0.14,0.48,-0.01,-0.03,-3.48,0.00,9
72,Entry short,2025-06-11 21:00,MR-S | IN:MR,144.807,0.2,28.9614,0.12,0.43,0,0.14,0.48,-0.01,-0.03,-3.48,0.00,9
73,Exit short,2025-06-13 11:00,RUN EXIT | IN:MR | OUT:MR,143.652,0.8,115.8456,0.92,0.80,0,1.61,1.39,-0.03,-0.03,-2.56,0.00,38
73,Entry short,2025-06-11 21:00,MR-S | IN:MR,144.807,0.8,115.8456,0.92,0.80,0,1.61,1.39,-0.03,-0.03,-2.56,0.00,38
74,Exit short,2025-06-19 14:00,MR FAIL | IN:MR | OUT:MR,145.387,1,144.824,-0.56,-0.39,0,0.5,0.34,-0.58,-0.40,-3.12,0.00,21
74,Entry short,2025-06-18 17:00,MR-S | IN:MR,144.824,1,144.824,-0.56,-0.39,0,0.5,0.34,-0.58,-0.40,-3.12,0.00,21
75,Exit short,2025-06-20 21:00,MR FAIL | IN:MR | OUT:MR,145.916,1,145.336,-0.58,-0.40,0,0.14,0.10,-0.61,-0.42,-3.7,0.00,13
75,Entry short,2025-06-20 08:00,MR-S | IN:MR,145.336,1,145.336,-0.58,-0.40,0,0.14,0.10,-0.61,-0.42,-3.7,0.00,13
76,Exit short,2025-06-24 13:00,MR TP1 | IN:TREND | OUT:TREND,145.198,0.2,29.2938,0.25,0.87,0,0.28,0.97,-0.01,-0.05,-3.45,0.00,15
76,Entry short,2025-06-23 22:00,MR-S | IN:TREND,146.469,0.2,29.2938,0.25,0.87,0,0.28,0.97,-0.01,-0.05,-3.45,0.00,15
77,Exit short,2025-06-25 13:00,RUN EXIT | IN:TREND | OUT:MR,145.3,0.8,117.1752,0.94,0.80,0,1.56,1.33,-0.06,-0.05,-2.51,0.00,39
77,Entry short,2025-06-23 22:00,MR-S | IN:TREND,146.469,0.8,117.1752,0.94,0.80,0,1.56,1.33,-0.06,-0.05,-2.51,0.00,39
78,Exit long,2025-06-30 12:00,MR FAIL | IN:MR | OUT:MR,143.911,1,144.429,-0.52,-0.36,0,0.52,0.36,-0.64,-0.44,-3.03,0.00,24
78,Entry long,2025-06-27 12:00,MR-L | IN:MR,144.429,1,144.429,-0.52,-0.36,0,0.52,0.36,-0.64,-0.44,-3.03,0.00,24
79,Exit long,2025-07-03 16:00,MR TP1 | IN:MR | OUT:MR,143.856,0.2,28.6806,0.09,0.32,0,0.17,0.59,-0.02,-0.06,-2.94,0.00,37
79,Entry long,2025-07-02 03:00,MR-L | IN:MR,143.403,0.2,28.6806,0.09,0.32,0,0.17,0.59,-0.02,-0.06,-2.94,0.00,37
80,Exit long,2025-07-04 13:00,RUN EXIT | IN:MR | OUT:MR,144.242,0.8,114.7224,0.67,0.59,0,1.46,1.28,-0.06,-0.06,-2.27,0.00,58
80,Entry long,2025-07-02 03:00,MR-L | IN:MR,143.403,0.8,114.7224,0.67,0.59,0,1.46,1.28,-0.06,-0.06,-2.27,0.00,58
81,Exit short,2025-07-10 14:00,MR TP1 | IN:HYBRID | OUT:HYBRID,146.282,0.2,29.3174,0.06,0.21,0,0.17,0.57,-0.12,-0.41,-2.21,0.00,33
81,Entry short,2025-07-09 05:00,MR-S | IN:HYBRID,146.587,0.2,29.3174,0.06,0.21,0,0.17,0.57,-0.12,-0.41,-2.21,0.00,33
