Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
383,Exit long,2026-08-13 21:00,MR TP1 | IN:MR | OUT:MR,1891.21,0.2,378.782,-0.54,-0.14,0,0.63,0.17,-4.12,-1.09,343.18,0.34,9
383,Entry long,2026-08-13 12:00,MR-L | IN:MR,1893.91,0.2,378.782,-0.54,-0.14,0,0.63,0.17,-4.12,-1.09,343.18,0.34,9
384,Exit long,2026-08-13 23:00,RUN EXIT | IN:MR | OUT:MR,1872.85,0.8,1515.128,-16.85,-1.11,0,2.54,0.17,-26.48,-1.75,326.33,0.33,11
384,Entry long,2026-08-13 12:00,MR-L | IN:MR,1893.91,0.8,1515.128,-16.85,-1.11,0,2.54,0.17,-26.48,-1.75,326.33,0.33,11
385,Exit long,2026-08-14 10:00,MR FAIL | IN:MR | OUT:MR,1880.56,1,1887.73,-7.17,-0.38,0,1.88,0.10,-7.24,-0.38,319.16,0.32,5
385,Entry long,2026-08-14 05:00,MR-L | IN:MR,1887.73,1,1887.73,-7.17,-0.38,0,1.88,0.10,-7.24,-0.38,319.16,0.32,5
386,Exit long,2026-08-16 04:00,MR TP1 | IN:MR | OUT:MR,1883.13,0.2,376.452,0.17,0.05,0,0.52,0.14,-1.7,-0.45,319.34,0.32,20
386,Entry long,2026-08-15 08:00,MR-L | IN:MR,1882.26,0.2,376.452,0.17,0.05,0,0.52,0.14,-1.7,-0.45,319.34,0.32,20
387,Exit long,2026-08-16 16:00,RUN EXIT | IN:MR | OUT:MR,1878.14,0.8,1505.808,-3.3,-0.22,0,2.1,0.14,-6.79,-0.45,316.04,0.32,32
387,Entry long,2026-08-15 08:00,MR-L | IN:MR,1882.26,0.8,1505.808,-3.3,-0.22,0,2.1,0.14,-6.79,-0.45,316.04,0.32,32
388,Exit short,2026-08-17 06:00,MR TP1 | IN:MR | OUT:MR,1874.13,0.2,374.816,-0.01,0.00,0,0.54,0.14,-0.31,-0.08,316.03,0.32,1
388,Entry short,2026-08-17 05:00,MR-S | IN:MR,1874.08,0.2,374.816,-0.01,0.00,0,0.54,0.14,-0.31,-0.08,316.03,0.32,1
389,Exit short,2026-08-17 08:00,RUN EXIT | IN:MR | OUT:MR,1889.57,0.8,1499.264,-12.39,-0.83,0,2.89,0.19,-16.94,-1.13,303.64,0.30,3
389,Entry short,2026-08-17 05:00,MR-S | IN:MR,1874.08,0.8,1499.264,-12.39,-0.83,0,2.89,0.19,-16.94,-1.13,303.64,0.30,3
390,Exit short,2026-08-19 01:00,MR FAIL | IN:MR | OUT:MR,1915.2,1,1891.47,-23.73,-1.25,0,7.35,0.39,-30.78,-1.63,279.91,0.28,16
390,Entry short,2026-08-18 09:00,MR-S | IN:MR,1891.47,1,1891.47,-23.73,-1.25,0,7.35,0.39,-30.78,-1.63,279.91,0.28,16
391,Exit short,2026-08-22 05:00,MR FAIL | IN:TREND | OUT:HYBRID,2521.48,1,2261.11,-260.37,-11.52,0,18.18,0.80,-285.89,-12.64,19.54,0.02,40
391,Entry short,2026-08-20 13:00,MR-S | IN:TREND,2261.11,1,2261.11,-260.37,-11.52,0,18.18,0.80,-285.89,-12.64,19.54,0.02,40
392,Exit long,2026-08-22 17:00,TF EXIT | IN:HYBRID | OUT:MR,2412.78,1,2521.48,-108.7,-4.31,0,26.52,1.05,-136.48,-5.41,-89.16,-0.09,12
392,Entry long,2026-08-22 05:00,TF-L | IN:HYBRID,2521.48,1,2521.48,-108.7,-4.31,0,26.52,1.05,-136.48,-5.41,-89.16,-0.09,12
393,Exit short,2026-08-24 17:00,MR FAIL | IN:MR | OUT:MR,2464.59,1,2412.78,-51.81,-2.15,0,56.96,2.36,-77.31,-3.20,-140.97,-0.14,48
393,Entry short,2026-08-22 17:00,MR-S | IN:MR,2412.78,1,2412.78,-51.81,-2.15,0,56.96,2.36,-77.31,-3.20,-140.97,-0.14,48
394,Exit short,2026-08-26 10:00,MR TP1 | IN:MR | OUT:MR,2465.29,0.2,494.25,1.19,0.24,0,11.25,2.28,-0.87,-0.18,-139.78,-0.14,10
394,Entry short,2026-08-26 00:00,MR-S | IN:MR,2471.25,0.2,494.25,1.19,0.24,0,11.25,2.28,-0.87,-0.18,-139.78,-0.14,10
395,Exit short,2026-08-27 04:00,RUN EXIT | IN:MR | OUT:MR,2496.95,0.8,1977,-20.56,-1.04,0,45,2.28,-26.57,-1.34,-160.34,-0.16,28
395,Entry short,2026-08-26 00:00,MR-S | IN:MR,2471.25,0.8,1977,-20.56,-1.04,0,45,2.28,-26.57,-1.34,-160.34,-0.16,28
396,Exit short,2026-08-29 01:00,MR TP1 | IN:MR | OUT:MR,2428.46,0.2,498.15,12.46,2.50,0,16.95,3.40,-7.2,-1.45,-147.88,-0.15,15
396,Entry short,2026-08-28 10:00,MR-S | IN:MR,2490.75,0.2,498.15,12.46,2.50,0,16.95,3.40,-7.2,-1.45,-147.88,-0.15,15
397,Exit short,2026-08-29 23:00,RUN EXIT | IN:MR | OUT:MR,2450.84,0.8,1992.6,31.93,1.60,0,67.8,3.40,-28.82,-1.45,-115.95,-0.12,37
397,Entry short,2026-08-28 10:00,MR-S | IN:MR,2490.75,0.8,1992.6,31.93,1.60,0,67.8,3.40,-28.82,-1.45,-115.95,-0.12,37
