Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
377,Entry short,2026-07-28 01:00,MR-S | IN:MR,7415,0.2,1483,-0.14,-0.01,0,1.2,0.08,-1.6,-0.11,1368.52,1.37,1
378,Exit short,2026-07-28 23:00,RUN EXIT | IN:MR | OUT:MR,7451.1,0.8,5932,-28.88,-0.49,0,24.32,0.41,-30.32,-0.51,1339.64,1.34,21
378,Entry short,2026-07-28 01:00,MR-S | IN:MR,7415,0.8,5932,-28.88,-0.49,0,24.32,0.41,-30.32,-0.51,1339.64,1.34,21
379,Exit long,2026-07-31 07:00,MR TP1 | IN:MR | OUT:TREND,7464.6,0.2,1476.84,16.08,1.09,0,16.62,1.13,-3.2,-0.22,1355.72,1.36,9
379,Entry long,2026-07-30 21:00,MR-L | IN:MR,7384.2,0.2,1476.84,16.08,1.09,0,16.62,1.13,-3.2,-0.22,1355.72,1.36,9
380,Exit long,2026-08-05 21:00,RUN EXIT | IN:MR | OUT:TREND,7759.9,0.8,5907.36,300.56,5.09,0,327.44,5.54,-12.8,-0.22,1656.28,1.66,92
380,Entry long,2026-07-30 21:00,MR-L | IN:MR,7384.2,0.8,5907.36,300.56,5.09,0,327.44,5.54,-12.8,-0.22,1656.28,1.66,92
381,Exit short,2026-08-12 05:00,MR TP1 | IN:MR | OUT:HYBRID,7731.4,0.2,1546.86,0.58,0.04,0,3.48,0.22,-0.46,-0.03,1656.86,1.66,5
381,Entry short,2026-08-11 23:00,MR-S | IN:MR,7734.3,0.2,1546.86,0.58,0.04,0,3.48,0.22,-0.46,-0.03,1656.86,1.66,5
382,Exit short,2026-08-12 20:00,RUN EXIT | IN:MR | OUT:MR,7748.9,0.8,6187.44,-11.68,-0.19,0,13.92,0.22,-30.4,-0.49,1645.18,1.65,20
382,Entry short,2026-08-11 23:00,MR-S | IN:MR,7734.3,0.8,6187.44,-11.68,-0.19,0,13.92,0.22,-30.4,-0.49,1645.18,1.65,20
383,Exit short,2026-08-18 01:00,MR TP1 | IN:HYBRID | OUT:MR,7756.9,0.2,1561.88,10.5,0.67,0,11.3,0.72,-0.08,-0.01,1655.68,1.66,29
383,Entry short,2026-08-14 19:00,MR-S | IN:HYBRID,7809.4,0.2,1561.88,10.5,0.67,0,11.3,0.72,-0.08,-0.01,1655.68,1.66,29
384,Exit short,2026-08-19 10:00,RUN EXIT | IN:HYBRID | OUT:HYBRID,7688.5,0.8,6247.52,96.72,1.55,0,100.24,1.60,-0.32,-0.01,1752.4,1.75,60
384,Entry short,2026-08-14 19:00,MR-S | IN:HYBRID,7809.4,0.8,6247.52,96.72,1.55,0,100.24,1.60,-0.32,-0.01,1752.4,1.75,60
385,Exit long,2026-08-24 17:00,MR FAIL | IN:MR | OUT:MR,7655.4,1,7683.4,-28,-0.36,0,12.8,0.17,-29.7,-0.39,1724.4,1.72,21
385,Entry long,2026-08-21 19:00,MR-L | IN:MR,7683.4,1,7683.4,-28,-0.36,0,12.8,0.17,-29.7,-0.39,1724.4,1.72,21
386,Exit long,2026-08-25 19:00,MR TP1 | IN:MR | OUT:HYBRID,7683,0.2,1532.14,4.46,0.29,0,7.72,0.50,-0.14,-0.01,1728.86,1.73,9
386,Entry long,2026-08-25 10:00,MR-L | IN:MR,7660.7,0.2,1532.14,4.46,0.29,0,7.72,0.50,-0.14,-0.01,1728.86,1.73,9
387,Exit long,2026-08-28 23:00,RUN EXIT | IN:MR | OUT:MR,7713.6,0.8,6128.56,42.32,0.69,0,87.84,1.43,-8.48,-0.14,1771.18,1.77,82
387,Entry long,2026-08-25 10:00,MR-L | IN:MR,7660.7,0.8,6128.56,42.32,0.69,0,87.84,1.43,-8.48,-0.14,1771.18,1.77,82
