Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
195,Exit long,2026-08-04 01:00,MR TP1 | IN:MR | OUT:MR,63808,0.2,12725.8,35.8,0.28,0,73,0.57,-6.4,-0.05,-6007.58,-6.01,3
195,Entry long,2026-08-03 22:00,MR-L | IN:MR,63629,0.2,12725.8,35.8,0.28,0,73,0.57,-6.4,-0.05,-6007.58,-6.01,3
196,Exit long,2026-08-05 18:00,RUN EXIT | IN:MR | OUT:MR,64018,0.8,50903.2,311.2,0.61,0,682.4,1.34,-287.2,-0.56,-5696.38,-5.70,44
196,Entry long,2026-08-03 22:00,MR-L | IN:MR,63629,0.8,50903.2,311.2,0.61,0,682.4,1.34,-287.2,-0.56,-5696.38,-5.70,44
197,Exit short,2026-08-07 21:00,MR FAIL | IN:MR | OUT:MR,64902,1,64394,-508,-0.79,0,291,0.45,-946,-1.47,-6204.38,-6.20,19
197,Entry short,2026-08-07 02:00,MR-S | IN:MR,64394,1,64394,-508,-0.79,0,291,0.45,-946,-1.47,-6204.38,-6.20,19
198,Exit short,2026-08-09 22:00,MR FAIL | IN:MR | OUT:MR,65177,1,64909,-268,-0.41,0,224,0.35,-327,-0.50,-6472.38,-6.47,16
198,Entry short,2026-08-09 06:00,MR-S | IN:MR,64909,1,64909,-268,-0.41,0,224,0.35,-327,-0.50,-6472.38,-6.47,16
199,Exit short,2026-08-10 13:00,MR FAIL | IN:MR | OUT:MR,65245,1,64956,-289,-0.44,0,22,0.03,-328,-0.50,-6761.38,-6.76,2
199,Entry short,2026-08-10 11:00,MR-S | IN:MR,64956,1,64956,-289,-0.44,0,22,0.03,-328,-0.50,-6761.38,-6.76,2
200,Exit short,2026-08-10 22:00,MR TP1 | IN:MR | OUT:MR,64241,0.2,12983,134.8,1.04,0,154.2,1.19,-53.2,-0.41,-6626.58,-6.63,6
200,Entry short,2026-08-10 16:00,MR-S | IN:MR,64915,0.2,12983,134.8,1.04,0,154.2,1.19,-53.2,-0.41,-6626.58,-6.63,6
201,Exit short,2026-08-11 18:00,RUN EXIT | IN:MR | OUT:MR,64331,0.8,51932,467.2,0.90,0,942.4,1.81,-212.8,-0.41,-6159.38,-6.16,26
201,Entry short,2026-08-10 16:00,MR-S | IN:MR,64915,0.8,51932,467.2,0.90,0,942.4,1.81,-212.8,-0.41,-6159.38,-6.16,26
202,Exit long,2026-08-13 04:00,MR FAIL | IN:MR | OUT:MR,63397,1,63763,-366,-0.57,0,648,1.02,-523,-0.82,-6525.38,-6.53,20
202,Entry long,2026-08-12 08:00,MR-L | IN:MR,63763,1,63763,-366,-0.57,0,648,1.02,-523,-0.82,-6525.38,-6.53,20
203,Exit long,2026-08-14 00:00,MR FAIL | IN:MR | OUT:MR,63075,1,63825,-750,-1.18,0,100,0.16,-1042,-1.63,-7275.38,-7.28,12
203,Entry long,2026-08-13 12:00,MR-L | IN:MR,63825,1,63825,-750,-1.18,0,100,0.16,-1042,-1.63,-7275.38,-7.28,12
204,Exit long,2026-08-14 10:00,MR FAIL | IN:MR | OUT:MR,63248,1,63505,-257,-0.40,0,48,0.08,-263,-0.41,-7532.38,-7.53,2
204,Entry long,2026-08-14 08:00,MR-L | IN:MR,63505,1,63505,-257,-0.40,0,48,0.08,-263,-0.41,-7532.38,-7.53,2
205,Exit long,2026-08-17 10:00,MR TP1 | IN:MR | OUT:HYBRID,63368,0.2,12597,76.6,0.61,0,93.8,0.74,-66.4,-0.53,-7455.78,-7.46,48
205,Entry long,2026-08-15 10:00,MR-L | IN:MR,62985,0.2,12597,76.6,0.61,0,93.8,0.74,-66.4,-0.53,-7455.78,-7.46,48
206,Exit long,2026-08-18 16:00,RUN EXIT | IN:MR | OUT:HYBRID,64111,0.8,50388,900.8,1.79,0,1252.8,2.49,-265.6,-0.53,-6554.98,-6.55,78
206,Entry long,2026-08-15 10:00,MR-L | IN:MR,62985,0.8,50388,900.8,1.79,0,1252.8,2.49,-265.6,-0.53,-6554.98,-6.55,78
