Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
128,Exit short,2025-09-16 05:00,MR TP1 | IN:MR | OUT:MR,1.62046,0.2,0.324434,0.0003,0.11,0,0.0005,0.15,-0.00004,-0.01,-0.13,0.00,5
128,Entry short,2025-09-16 00:00,MR-S | IN:MR,1.62217,0.2,0.324434,0.0003,0.11,0,0.0005,0.15,-0.00004,-0.01,-0.13,0.00,5
129,Exit short,2025-09-16 17:00,RUN EXIT | IN:MR | OUT:MR,1.62511,0.8,1.297736,-0.002,-0.18,0,0.002,0.15,-0.004,-0.29,-0.13,0.00,17
129,Entry short,2025-09-16 00:00,MR-S | IN:MR,1.62217,0.8,1.297736,-0.002,-0.18,0,0.002,0.15,-0.004,-0.29,-0.13,0.00,17
130,Exit short,2025-09-18 23:00,MR TP1 | IN:HYBRID | OUT:MR,1.6267,0.2,0.325632,0.0003,0.09,0,0.001,0.37,-0.002,-0.48,-0.13,0.00,30
130,Entry short,2025-09-17 17:00,MR-S | IN:HYBRID,1.62816,0.2,0.325632,0.0003,0.09,0,0.001,0.37,-0.002,-0.48,-0.13,0.00,30
131,Exit short,2025-09-22 15:00,RUN EXIT | IN:HYBRID | OUT:MR,1.62382,0.8,1.302528,0.003,0.27,0,0.01,0.69,-0.01,-0.48,-0.13,0.00,70
131,Entry short,2025-09-17 17:00,MR-S | IN:HYBRID,1.62816,0.8,1.302528,0.003,0.27,0,0.01,0.69,-0.01,-0.48,-0.13,0.00,70
132,Exit short,2025-09-25 19:00,MR TP1 | IN:MR | OUT:MR,1.62658,0.2,0.326794,0.001,0.45,0,0.002,0.51,-0.0001,-0.03,-0.13,0.00,36
132,Entry short,2025-09-24 07:00,MR-S | IN:MR,1.63397,0.2,0.326794,0.001,0.45,0,0.002,0.51,-0.0001,-0.03,-0.13,0.00,36
133,Exit short,2025-09-26 15:00,RUN EXIT | IN:MR | OUT:MR,1.62904,0.8,1.307176,0.004,0.30,0,0.01,0.61,-0.0005,-0.03,-0.12,0.00,56
133,Entry short,2025-09-24 07:00,MR-S | IN:MR,1.63397,0.8,1.307176,0.004,0.30,0,0.01,0.61,-0.0005,-0.03,-0.12,0.00,56
134,Exit short,2025-09-30 17:00,MR FAIL | IN:MR | OUT:MR,1.63495,1,1.6317,-0.003,-0.20,0,0.001,0.08,-0.004,-0.24,-0.13,0.00,12
134,Entry short,2025-09-30 05:00,MR-S | IN:MR,1.6317,1,1.6317,-0.003,-0.20,0,0.001,0.08,-0.004,-0.24,-0.13,0.00,12
135,Exit short,2025-10-02 14:00,MR FAIL | IN:MR | OUT:MR,1.63756,1,1.63538,-0.002,-0.13,0,0.001,0.03,-0.003,-0.16,-0.13,0.00,7
135,Entry short,2025-10-02 07:00,MR-S | IN:MR,1.63538,1,1.63538,-0.002,-0.13,0,0.001,0.03,-0.003,-0.16,-0.13,0.00,7
136,Exit short,2025-10-03 15:00,MR FAIL | IN:MR | OUT:MR,1.63899,1,1.63452,-0.004,-0.27,0,0.0002,0.01,-0.01,-0.31,-0.13,0.00,17
136,Entry short,2025-10-02 22:00,MR-S | IN:MR,1.63452,1,1.63452,-0.004,-0.27,0,0.0002,0.01,-0.01,-0.31,-0.13,0.00,17
137,Exit short,2025-10-06 13:00,MR TP1 | IN:MR | OUT:TREND,1.63086,0.2,0.327428,0.001,0.38,0,0.001,0.39,-0.0001,-0.02,-0.13,0.00,9
137,Entry short,2025-10-06 04:00,MR-S | IN:MR,1.63714,0.2,0.327428,0.001,0.38,0,0.001,0.39,-0.0001,-0.02,-0.13,0.00,9
138,Exit short,2025-10-07 07:00,RUN EXIT | IN:MR | OUT:MR,1.63321,0.8,1.309712,0.003,0.24,0,0.01,0.67,-0.0002,-0.02,-0.13,0.00,27
138,Entry short,2025-10-06 04:00,MR-S | IN:MR,1.63714,0.8,1.309712,0.003,0.24,0,0.01,0.67,-0.0002,-0.02,-0.13,0.00,27
139,Exit long,2025-10-11 02:00,MR TP1 | IN:MR | OUT:MR,1.6259,0.2,0.324514,0.001,0.21,0,0.001,0.38,-0.001,-0.32,-0.13,0.00,44
139,Entry long,2025-10-09 06:00,MR-L | IN:MR,1.62257,0.2,0.324514,0.001,0.21,0,0.001,0.38,-0.001,-0.32,-0.13,0.00,44
140,Exit long,2025-10-13 19:00,RUN EXIT | IN:MR | OUT:MR,1.62106,0.8,1.298056,-0.001,-0.09,0,0.005,0.38,-0.004,-0.32,-0.13,0.00,61
140,Entry long,2025-10-09 06:00,MR-L | IN:MR,1.62257,0.8,1.298056,-0.001,-0.09,0,0.005,0.38,-0.004,-0.32,-0.13,0.00,61
141,Exit short,2025-10-16 21:00,MR FAIL | IN:MR | OUT:HYBRID,1.63906,1,1.63494,-0.004,-0.25,0,0.001,0.05,-0.004,-0.26,-0.13,0.00,8
141,Entry short,2025-10-16 13:00,MR-S | IN:MR,1.63494,1,1.63494,-0.004,-0.25,0,0.001,0.05,-0.004,-0.26,-0.13,0.00,8
142,Exit long,2025-10-17 19:00,TF EXIT | IN:HYBRID | OUT:MR,1.63928,1,1.63906,0.0002,0.01,0,0.01,0.47,-0.001,-0.07,-0.13,0.00,22
142,Entry long,2025-10-16 21:00,TF-L | IN:HYBRID,1.63906,1,1.63906,0.0002,0.01,0,0.01,0.47,-0.001,-0.07,-0.13,0.00,22
143,Exit short,2025-10-20 10:00,MR TP1 | IN:MR | OUT:TREND,1.63468,0.2,0.327856,0.001,0.28,0,0.001,0.39,-0.0001,-0.05,-0.13,0.00,15
