Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
184,Entry short,2026-01-08 22:00,MR-S | IN:MR,1.61666,0.2,0.323332,0.0003,0.08,0,0.0004,0.14,-0.0001,-0.04,-0.12,0.00,20
185,Exit short,2026-01-10 04:00,RUN EXIT | IN:MR | OUT:MR,1.61908,0.8,1.293328,-0.002,-0.15,0,0.002,0.14,-0.002,-0.15,-0.12,0.00,30
185,Entry short,2026-01-08 22:00,MR-S | IN:MR,1.61666,0.8,1.293328,-0.002,-0.15,0,0.002,0.14,-0.002,-0.15,-0.12,0.00,30
186,Exit short,2026-01-14 00:00,MR TP1 | IN:MR | OUT:MR,1.61813,0.2,0.323776,0.0001,0.05,0,0.001,0.16,-0.0002,-0.06,-0.12,0.00,21
186,Entry short,2026-01-13 03:00,MR-S | IN:MR,1.61888,0.2,0.323776,0.0001,0.05,0,0.001,0.16,-0.0002,-0.06,-0.12,0.00,21
187,Exit short,2026-01-15 11:00,RUN EXIT | IN:MR | OUT:MR,1.61716,0.8,1.295104,0.001,0.11,0,0.004,0.29,-0.001,-0.06,-0.12,0.00,56
187,Entry short,2026-01-13 03:00,MR-S | IN:MR,1.61888,0.8,1.295104,0.001,0.11,0,0.004,0.29,-0.001,-0.06,-0.12,0.00,56
188,Exit long,2026-01-19 18:00,MR TP1 | IN:HYBRID | OUT:MR,1.6151,0.2,0.32274,0.0003,0.09,0,0.001,0.20,-0.001,-0.17,-0.12,0.00,24
188,Entry long,2026-01-16 18:00,MR-L | IN:HYBRID,1.6137,0.2,0.32274,0.0003,0.09,0,0.001,0.20,-0.001,-0.17,-0.12,0.00,24
189,Exit long,2026-01-21 13:00,RUN EXIT | IN:HYBRID | OUT:MR,1.62154,0.8,1.29096,0.01,0.49,0,0.01,0.78,-0.002,-0.17,-0.11,0.00,67
189,Entry long,2026-01-16 18:00,MR-L | IN:HYBRID,1.6137,0.8,1.29096,0.01,0.49,0,0.01,0.78,-0.002,-0.17,-0.11,0.00,67
190,Exit long,2026-01-23 06:00,MR TP1 | IN:MR | OUT:TREND,1.6202,0.2,0.323946,0.0001,0.03,0,0.0002,0.07,-0.0002,-0.06,-0.11,0.00,7
190,Entry long,2026-01-22 23:00,MR-L | IN:MR,1.61973,0.2,0.323946,0.0001,0.03,0,0.0002,0.07,-0.0002,-0.06,-0.11,0.00,7
191,Exit long,2026-01-23 19:00,RUN EXIT | IN:MR | OUT:MR,1.61665,0.8,1.295784,-0.002,-0.19,0,0.001,0.07,-0.003,-0.20,-0.11,0.00,20
191,Entry long,2026-01-22 23:00,MR-L | IN:MR,1.61973,0.8,1.295784,-0.002,-0.19,0,0.001,0.07,-0.003,-0.20,-0.11,0.00,20
192,Exit short,2026-01-28 06:00,MR FAIL | IN:HYBRID | OUT:MR,1.63424,1,1.63,-0.004,-0.26,0,0.004,0.24,-0.01,-0.58,-0.12,0.00,10
192,Entry short,2026-01-27 20:00,MR-S | IN:HYBRID,1.63,1,1.63,-0.004,-0.26,0,0.004,0.24,-0.01,-0.58,-0.12,0.00,10
193,Exit short,2026-01-28 23:00,MR TP1 | IN:MR | OUT:TREND,1.62117,0.2,0.326464,0.002,0.68,0,0.003,0.89,-0.00001,0.00,-0.11,0.00,14
193,Entry short,2026-01-28 09:00,MR-S | IN:MR,1.63232,0.2,0.326464,0.002,0.68,0,0.003,0.89,-0.00001,0.00,-0.11,0.00,14
194,Exit short,2026-01-30 17:00,RUN EXIT | IN:MR | OUT:HYBRID,1.61374,0.8,1.305856,0.01,1.14,0,0.02,1.31,-0.00005,0.00,-0.1,0.00,56
194,Entry short,2026-01-28 09:00,MR-S | IN:MR,1.63232,0.8,1.305856,0.01,1.14,0,0.02,1.31,-0.00005,0.00,-0.1,0.00,56
195,Exit long,2026-02-05 15:00,MR TP1 | IN:MR | OUT:MR,1.61524,0.2,0.322804,0.0002,0.08,0,0.0003,0.10,-0.0004,-0.13,-0.1,0.00,28
195,Entry long,2026-02-04 11:00,MR-L | IN:MR,1.61402,0.2,0.322804,0.0002,0.08,0,0.0003,0.10,-0.0004,-0.13,-0.1,0.00,28
196,Exit long,2026-02-06 18:00,RUN EXIT | IN:MR | OUT:MR,1.61253,0.8,1.291216,-0.001,-0.09,0,0.002,0.14,-0.002,-0.17,-0.1,0.00,55
196,Entry long,2026-02-04 11:00,MR-L | IN:MR,1.61402,0.8,1.291216,-0.001,-0.09,0,0.002,0.14,-0.002,-0.17,-0.1,0.00,55
197,Exit short,2026-02-10 19:00,MR TP1 | IN:MR | OUT:MR,1.61398,0.2,0.323052,0.0003,0.08,0,0.0003,0.10,-0.0003,-0.09,-0.1,0.00,15
197,Entry short,2026-02-10 04:00,MR-S | IN:MR,1.61526,0.2,0.323052,0.0003,0.08,0,0.0003,0.10,-0.0003,-0.09,-0.1,0.00,15
198,Exit short,2026-02-11 20:00,RUN EXIT | IN:MR | OUT:MR,1.6112,0.8,1.292208,0.003,0.25,0,0.005,0.38,-0.001,-0.09,-0.1,0.00,40
198,Entry short,2026-02-10 04:00,MR-S | IN:MR,1.61526,0.8,1.292208,0.003,0.25,0,0.005,0.38,-0.001,-0.09,-0.1,0.00,40
199,Exit short,2026-02-18 03:00,MR FAIL | IN:MR | OUT:MR,1.61622,1,1.61514,-0.001,-0.07,0,0.001,0.09,-0.002,-0.15,-0.1,0.00,55
199,Entry short,2026-02-13 20:00,MR-S | IN:MR,1.61514,1,1.61514,-0.001,-0.07,0,0.001,0.09,-0.002,-0.15,-0.1,0.00,55
200,Exit short,2026-02-19 01:00,MR TP1 | IN:MR | OUT:MR,1.61396,0.2,0.322888,0.0001,0.03,0,0.0001,0.03,-0.0004,-0.13,-0.1,0.00,7
200,Entry short,2026-02-18 18:00,MR-S | IN:MR,1.61444,0.2,0.322888,0.0001,0.03,0,0.0001,0.03,-0.0004,-0.13,-0.1,0.00,7
201,Exit short,2026-02-20 15:00,RUN EXIT | IN:MR | OUT:HYBRID,1.61022,0.8,1.291552,0.003,0.26,0,0.005,0.37,-0.002,-0.13,-0.1,0.00,45
201,Entry short,2026-02-18 18:00,MR-S | IN:MR,1.61444,0.8,1.291552,0.003,0.26,0,0.005,0.37,-0.002,-0.13,-0.1,0.00,45
202,Exit short,2026-02-25 17:00,MR TP1 | IN:MR | OUT:MR,1.61342,0.2,0.32276,0.0001,0.02,0,0.0002,0.07,-0.0005,-0.15,-0.1,0.00,31
202,Entry short,2026-02-24 10:00,MR-S | IN:MR,1.6138,0.2,0.32276,0.0001,0.02,0,0.0002,0.07,-0.0005,-0.15,-0.1,0.00,31
203,Exit short,2026-02-26 00:00,RUN EXIT | IN:MR | OUT:HYBRID,1.61566,0.8,1.29104,-0.001,-0.12,0,0.001,0.07,-0.002,-0.17,-0.1,0.00,38
203,Entry short,2026-02-24 10:00,MR-S | IN:MR,1.6138,0.8,1.29104,-0.001,-0.12,0,0.001,0.07,-0.002,-0.17,-0.1,0.00,38
204,Exit short,2026-02-26 21:00,MR FAIL | IN:MR | OUT:MR,1.6168,1,1.61337,-0.003,-0.21,0,0.0003,0.02,-0.004,-0.22,-0.1,0.00,5
204,Entry short,2026-02-26 16:00,MR-S | IN:MR,1.61337,1,1.61337,-0.003,-0.21,0,0.0003,0.02,-0.004,-0.22,-0.1,0.00,5
205,Exit short,2026-02-27 03:00,MR TP1 | IN:MR | OUT:MR,1.61422,0.2,0.322688,-0.0002,-0.05,0,0.0002,0.06,-0.0002,-0.06,-0.1,0.00,4
205,Entry short,2026-02-26 23:00,MR-S | IN:MR,1.61344,0.2,0.322688,-0.0002,-0.05,0,0.0002,0.06,-0.0002,-0.06,-0.1,0.00,4
206,Exit short,2026-03-03 01:00,RUN EXIT | IN:MR | OUT:HYBRID,1.60174,0.8,1.290752,0.01,0.73,0,0.01,0.90,-0.002,-0.14,-0.09,0.00,50
206,Entry short,2026-02-26 23:00,MR-S | IN:MR,1.61344,0.8,1.290752,0.01,0.73,0,0.01,0.90,-0.002,-0.14,-0.09,0.00,50
207,Exit long,2026-03-05 18:00,MR FAIL | IN:TREND | OUT:TREND,1.58272,1,1.58858,-0.01,-0.37,0,0.004,0.27,-0.01,-0.41,-0.1,0.00,37
207,Entry long,2026-03-04 05:00,MR-L | IN:TREND,1.58858,1,1.58858,-0.01,-0.37,0,0.004,0.27,-0.01,-0.41,-0.1,0.00,37
208,Exit long,2026-03-06 20:00,MR FAIL | IN:TREND | OUT:MR,1.57704,1,1.58456,-0.01,-0.47,0,0.004,0.22,-0.01,-0.51,-0.1,0.00,22
208,Entry long,2026-03-05 22:00,MR-L | IN:TREND,1.58456,1,1.58456,-0.01,-0.47,0,0.004,0.22,-0.01,-0.51,-0.1,0.00,22
209,Exit long,2026-03-10 14:00,MR TP1 | IN:TREND | OUT:TREND,1.58228,0.2,0.31429,0.002,0.69,0,0.002,0.69,-0.00002,-0.01,-0.1,0.00,17
209,Entry long,2026-03-09 21:00,MR-L | IN:TREND,1.57145,0.2,0.31429,0.002,0.69,0,0.002,0.69,-0.00002,-0.01,-0.1,0.00,17
210,Exit long,2026-03-11 11:00,RUN EXIT | IN:TREND | OUT:MR,1.57738,0.8,1.25716,0.005,0.38,0,0.01,0.77,-0.0001,-0.01,-0.1,0.00,38
210,Entry long,2026-03-09 21:00,MR-L | IN:TREND,1.57145,0.8,1.25716,0.005,0.38,0,0.01,0.77,-0.0001,-0.01,-0.1,0.00,38
211,Exit long,2026-03-13 15:00,MR FAIL | IN:MR | OUT:MR,1.56378,1,1.57016,-0.01,-0.41,0,0.0004,0.03,-0.01,-0.51,-0.1,0.00,8
211,Entry long,2026-03-13 07:00,MR-L | IN:MR,1.57016,1,1.57016,-0.01,-0.41,0,0.0004,0.03,-0.01,-0.51,-0.1,0.00,8
212,Exit long,2026-03-16 15:00,MR FAIL | IN:MR | OUT:MR,1.56773,1,1.57268,-0.005,-0.31,0,0.002,0.13,-0.01,-0.46,-0.11,0.00,20
212,Entry long,2026-03-13 19:00,MR-L | IN:MR,1.57268,1,1.57268,-0.005,-0.31,0,0.002,0.13,-0.01,-0.46,-0.11,0.00,20
213,Exit long,2026-03-17 00:00,MR TP1 | IN:MR | OUT:MR,1.57204,0.2,0.314244,0.0002,0.05,0,0.0003,0.11,-0.0005,-0.15,-0.11,0.00,7
213,Entry long,2026-03-16 17:00,MR-L | IN:MR,1.57122,0.2,0.314244,0.0002,0.05,0,0.0003,0.11,-0.0005,-0.15,-0.11,0.00,7
214,Exit long,2026-03-18 16:00,RUN EXIT | IN:MR | OUT:MR,1.57982,0.8,1.256976,0.01,0.55,0,0.01,0.73,-0.002,-0.15,-0.1,0.00,47
214,Entry long,2026-03-16 17:00,MR-L | IN:MR,1.57122,0.8,1.256976,0.01,0.55,0,0.01,0.73,-0.002,-0.15,-0.1,0.00,47
215,Exit long,2026-03-19 23:00,MR TP1 | IN:MR | OUT:MR,1.5835,0.2,0.31598,0.001,0.23,0,0.001,0.24,-0.00005,-0.01,-0.1,0.00,1
215,Entry long,2026-03-19 22:00,MR-L | IN:MR,1.5799,0.2,0.31598,0.001,0.23,0,0.001,0.24,-0.00005,-0.01,-0.1,0.00,1
216,Exit long,2026-03-20 20:00,RUN EXIT | IN:MR | OUT:MR,1.58393,0.8,1.26392,0.003,0.26,0,0.01,0.84,-0.0002,-0.01,-0.1,0.00,22
216,Entry long,2026-03-19 22:00,MR-L | IN:MR,1.5799,0.8,1.26392,0.003,0.26,0,0.01,0.84,-0.0002,-0.01,-0.1,0.00,22
217,Exit short,2026-03-30 09:00,MR FAIL | IN:MR | OUT:MR,1.5992,1,1.59644,-0.003,-0.17,0,0.003,0.16,-0.005,-0.31,-0.1,0.00,59
217,Entry short,2026-03-25 22:00,MR-S | IN:MR,1.59644,1,1.59644,-0.003,-0.17,0,0.003,0.16,-0.005,-0.31,-0.1,0.00,59
218,Exit short,2026-03-31 00:00,MR TP1 | IN:MR | OUT:MR,1.5951,0.2,0.319184,0.0002,0.05,0,0.0005,0.14,-0.0001,-0.02,-0.1,0.00,3
218,Entry short,2026-03-30 21:00,MR-S | IN:MR,1.59592,0.2,0.319184,0.0002,0.05,0,0.0005,0.14,-0.0001,-0.02,-0.1,0.00,3
219,Exit short,2026-03-31 14:00,RUN EXIT | IN:MR | OUT:MR,1.59842,0.8,1.276736,-0.002,-0.16,0,0.002,0.14,-0.003,-0.21,-0.1,0.00,17
219,Entry short,2026-03-30 21:00,MR-S | IN:MR,1.59592,0.8,1.276736,-0.002,-0.16,0,0.002,0.14,-0.003,-0.21,-0.1,0.00,17
220,Exit short,2026-04-03 00:00,MR TP1 | IN:TREND | OUT:MR,1.60529,0.2,0.32226,0.001,0.37,0,0.002,0.56,-0.001,-0.21,-0.1,0.00,31
220,Entry short,2026-04-01 17:00,MR-S | IN:TREND,1.6113,0.2,0.32226,0.001,0.37,0,0.002,0.56,-0.001,-0.21,-0.1,0.00,31
221,Exit short,2026-04-03 18:00,RUN EXIT | IN:TREND | OUT:MR,1.60756,0.8,1.28904,0.003,0.23,0,0.01,0.56,-0.003,-0.21,-0.1,0.00,49
221,Entry short,2026-04-01 17:00,MR-S | IN:TREND,1.6113,0.8,1.28904,0.003,0.23,0,0.01,0.56,-0.003,-0.21,-0.1,0.00,49
222,Exit long,2026-04-06 15:00,MR TP1 | IN:MR | OUT:MR,1.60866,0.2,0.321936,-0.0002,-0.06,0,0.0001,0.02,-0.0003,-0.08,-0.1,0.00,1
222,Entry long,2026-04-06 14:00,MR-L | IN:MR,1.60968,0.2,0.321936,-0.0002,-0.06,0,0.0001,0.02,-0.0003,-0.08,-0.1,0.00,1
223,Exit long,2026-04-07 03:00,RUN EXIT | IN:MR | OUT:MR,1.60564,0.8,1.287744,-0.003,-0.25,0,0.0003,0.02,-0.004,-0.27,-0.1,0.00,13
223,Entry long,2026-04-06 14:00,MR-L | IN:MR,1.60968,0.8,1.287744,-0.003,-0.25,0,0.0003,0.02,-0.004,-0.27,-0.1,0.00,13
224,Exit long,2026-04-07 16:00,MR TP1 | IN:HYBRID | OUT:MR,1.60932,0.2,0.321976,-0.0001,-0.03,0,0.0003,0.09,-0.0001,-0.04,-0.1,0.00,1
224,Entry long,2026-04-07 15:00,MR-L | IN:HYBRID,1.60988,0.2,0.321976,-0.0001,-0.03,0,0.0003,0.09,-0.0001,-0.04,-0.1,0.00,1
225,Exit long,2026-04-08 22:00,RUN EXIT | IN:HYBRID | OUT:TREND,1.61898,0.8,1.287904,0.01,0.57,0,0.01,0.82,-0.002,-0.16,-0.09,0.00,31
225,Entry long,2026-04-07 15:00,MR-L | IN:HYBRID,1.60988,0.8,1.287904,0.01,0.57,0,0.01,0.82,-0.002,-0.16,-0.09,0.00,31
226,Exit short,2026-04-14 03:00,MR FAIL | IN:MR | OUT:MR,1.62188,1,1.61893,-0.003,-0.18,0,0.003,0.18,-0.004,-0.22,-0.1,0.00,14
226,Entry short,2026-04-13 13:00,MR-S | IN:MR,1.61893,1,1.61893,-0.003,-0.18,0,0.003,0.18,-0.004,-0.22,-0.1,0.00,14
227,Exit short,2026-04-16 07:00,MR TP1 | IN:MR | OUT:HYBRID,1.62079,0.2,0.324528,0.0004,0.11,0,0.001,0.19,-0.0003,-0.11,-0.1,0.00,17
227,Entry short,2026-04-15 14:00,MR-S | IN:MR,1.62264,0.2,0.324528,0.0004,0.11,0,0.001,0.19,-0.0003,-0.11,-0.1,0.00,17
228,Exit short,2026-04-17 16:00,RUN EXIT | IN:MR | OUT:TREND,1.61304,0.8,1.298112,0.01,0.59,0,0.01,0.72,-0.001,-0.11,-0.09,0.00,50
228,Entry short,2026-04-15 14:00,MR-S | IN:MR,1.62264,0.8,1.298112,0.01,0.59,0,0.01,0.72,-0.001,-0.11,-0.09,0.00,50
229,Exit long,2026-04-22 22:00,MR FAIL | IN:MR | OUT:MR,1.60015,1,1.60484,-0.005,-0.29,0,0.0001,0.01,-0.005,-0.30,-0.09,0.00,8
229,Entry long,2026-04-22 14:00,MR-L | IN:MR,1.60484,1,1.60484,-0.005,-0.29,0,0.0001,0.01,-0.005,-0.30,-0.09,0.00,8
230,Exit long,2026-04-25 03:00,MR TP1 | IN:MR | OUT:MR,1.60189,0.2,0.320244,0.0001,0.04,0,0.001,0.17,-0.0004,-0.11,-0.09,0.00,29
230,Entry long,2026-04-23 22:00,MR-L | IN:MR,1.60122,0.2,0.320244,0.0001,0.04,0,0.001,0.17,-0.0004,-0.11,-0.09,0.00,29
231,Exit long,2026-04-27 17:00,RUN EXIT | IN:MR | OUT:MR,1.5984,0.8,1.280976,-0.002,-0.18,0,0.002,0.17,-0.003,-0.23,-0.1,0.00,43
231,Entry long,2026-04-23 22:00,MR-L | IN:MR,1.60122,0.8,1.280976,-0.002,-0.18,0,0.002,0.17,-0.003,-0.23,-0.1,0.00,43
232,Exit long,2026-04-29 03:00,MR TP1 | IN:MR | OUT:HYBRID,1.60268,0.2,0.3197,0.001,0.26,0,0.001,0.30,-0.0001,-0.03,-0.1,0.00,7
232,Entry long,2026-04-28 20:00,MR-L | IN:MR,1.5985,0.2,0.3197,0.001,0.26,0,0.001,0.30,-0.0001,-0.03,-0.1,0.00,7
233,Exit long,2026-04-29 21:00,RUN EXIT | IN:MR | OUT:MR,1.60013,0.8,1.2788,0.001,0.10,0,0.004,0.30,-0.0004,-0.03,-0.09,0.00,25
233,Entry long,2026-04-28 20:00,MR-L | IN:MR,1.5985,0.8,1.2788,0.001,0.10,0,0.004,0.30,-0.0004,-0.03,-0.09,0.00,25
234,Exit long,2026-05-04 18:00,MR FAIL | IN:MR | OUT:MR,1.59218,1,1.59472,-0.003,-0.16,0,0.004,0.26,-0.003,-0.20,-0.1,0.00,23
234,Entry long,2026-05-01 19:00,MR-L | IN:MR,1.59472,1,1.59472,-0.003,-0.16,0,0.004,0.26,-0.003,-0.20,-0.1,0.00,23
235,Exit long,2026-05-04 21:00,MR FAIL | IN:MR | OUT:MR,1.59308,1,1.59426,-0.001,-0.07,0,0.0001,0.01,-0.002,-0.10,-0.1,0.00,1
235,Entry long,2026-05-04 20:00,MR-L | IN:MR,1.59426,1,1.59426,-0.001,-0.07,0,0.0001,0.01,-0.002,-0.10,-0.1,0.00,1
236,Exit long,2026-05-06 11:00,MR TP1 | IN:MR | OUT:MR,1.59468,0.2,0.318552,0.0004,0.12,0,0.001,0.17,-0.0002,-0.05,-0.1,0.00,16
236,Entry long,2026-05-05 19:00,MR-L | IN:MR,1.59276,0.2,0.318552,0.0004,0.12,0,0.001,0.17,-0.0002,-0.05,-0.1,0.00,16
237,Exit long,2026-05-07 13:00,RUN EXIT | IN:MR | OUT:TREND,1.60186,0.8,1.274208,0.01,0.57,0,0.01,0.67,-0.001,-0.05,-0.09,0.00,42
237,Entry long,2026-05-05 19:00,MR-L | IN:MR,1.59276,0.8,1.274208,0.01,0.57,0,0.01,0.67,-0.001,-0.05,-0.09,0.00,42
238,Exit short,2026-05-13 07:00,MR TP1 | IN:MR | OUT:HYBRID,1.60744,0.2,0.3217,0.0002,0.07,0,0.0003,0.08,-0.001,-0.22,-0.09,0.00,39
238,Entry short,2026-05-11 16:00,MR-S | IN:MR,1.6085,0.2,0.3217,0.0002,0.07,0,0.0003,0.08,-0.001,-0.22,-0.09,0.00,39
239,Exit short,2026-05-14 10:00,RUN EXIT | IN:MR | OUT:MR,1.60544,0.8,1.2868,0.002,0.19,0,0.01,0.40,-0.003,-0.22,-0.09,0.00,66
239,Entry short,2026-05-11 16:00,MR-S | IN:MR,1.6085,0.8,1.2868,0.002,0.19,0,0.01,0.40,-0.003,-0.22,-0.09,0.00,66
240,Exit long,2026-05-19 21:00,MR FAIL | IN:MR | OUT:MR,1.59672,1,1.59915,-0.002,-0.15,0,0.003,0.20,-0.003,-0.18,-0.09,0.00,30
240,Entry long,2026-05-18 15:00,MR-L | IN:MR,1.59915,1,1.59915,-0.002,-0.15,0,0.003,0.20,-0.003,-0.18,-0.09,0.00,30
241,Exit long,2026-05-21 11:00,MR TP1 | IN:MR | OUT:HYBRID,1.59929,0.2,0.31927,0.001,0.18,0,0.001,0.20,-0.000002,0.00,-0.09,0.00,14
241,Entry long,2026-05-20 21:00,MR-L | IN:MR,1.59635,0.2,0.31927,0.001,0.18,0,0.001,0.20,-0.000002,0.00,-0.09,0.00,14
242,Exit long,2026-05-26 02:00,RUN EXIT | IN:MR | OUT:MR,1.60654,0.8,1.27708,0.01,0.64,0,0.01,0.77,-0.0004,-0.03,-0.08,0.00,77
242,Entry long,2026-05-20 21:00,MR-L | IN:MR,1.59635,0.8,1.27708,0.01,0.64,0,0.01,0.77,-0.0004,-0.03,-0.08,0.00,77
243,Exit short,2026-05-28 19:00,MR FAIL | IN:MR | OUT:MR,1.61074,1,1.60822,-0.003,-0.16,0,0.002,0.12,-0.003,-0.17,-0.08,0.00,13
243,Entry short,2026-05-28 06:00,MR-S | IN:MR,1.60822,1,1.60822,-0.003,-0.16,0,0.002,0.12,-0.003,-0.17,-0.08,0.00,13
244,Exit short,2026-05-29 04:00,MR TP1 | IN:MR | OUT:MR,1.60625,0.2,0.321494,0.0002,0.08,0,0.001,0.18,-0.00001,0.00,-0.08,0.00,5
244,Entry short,2026-05-28 23:00,MR-S | IN:MR,1.60747,0.2,0.321494,0.0002,0.08,0,0.001,0.18,-0.00001,0.00,-0.08,0.00,5
245,Exit short,2026-05-29 20:00,RUN EXIT | IN:MR | OUT:MR,1.60876,0.8,1.285976,-0.001,-0.08,0,0.003,0.19,-0.002,-0.17,-0.08,0.00,21
245,Entry short,2026-05-28 23:00,MR-S | IN:MR,1.60747,0.8,1.285976,-0.001,-0.08,0,0.003,0.19,-0.002,-0.17,-0.08,0.00,21
246,Exit short,2026-06-03 15:00,MR TP1 | IN:MR | OUT:TREND,1.60853,0.2,0.3217,-0.00001,0.00,0,0.0003,0.08,-0.0004,-0.11,-0.08,0.00,16
246,Entry short,2026-06-02 23:00,MR-S | IN:MR,1.6085,0.2,0.3217,-0.00001,0.00,0,0.0003,0.08,-0.0004,-0.11,-0.08,0.00,16
247,Exit short,2026-06-03 23:00,RUN EXIT | IN:MR | OUT:MR,1.6117,0.8,1.2868,-0.003,-0.20,0,0.001,0.08,-0.003,-0.23,-0.09,0.00,24
247,Entry short,2026-06-02 23:00,MR-S | IN:MR,1.6085,0.8,1.2868,-0.003,-0.20,0,0.001,0.08,-0.003,-0.23,-0.09,0.00,24
248,Exit short,2026-06-06 00:00,MR TP1 | IN:MR | OUT:TREND,1.6067,0.2,0.322984,0.002,0.51,0,0.002,0.55,-0.0004,-0.11,-0.09,0.00,20
248,Entry short,2026-06-05 04:00,MR-S | IN:MR,1.61492,0.2,0.322984,0.002,0.51,0,0.002,0.55,-0.0004,-0.11,-0.09,0.00,20
249,Exit short,2026-06-08 21:00,RUN EXIT | IN:MR | OUT:MR,1.60925,0.8,1.291936,0.005,0.35,0,0.01,0.65,-0.001,-0.11,-0.08,0.00,41
249,Entry short,2026-06-05 04:00,MR-S | IN:MR,1.61492,0.8,1.291936,0.005,0.35,0,0.01,0.65,-0.001,-0.11,-0.08,0.00,41
250,Exit short,2026-06-10 22:00,MR TP1 | IN:MR | OUT:MR,1.60872,0.2,0.321924,0.0002,0.06,0,0.001,0.17,-0.0002,-0.05,-0.08,0.00,6
250,Entry short,2026-06-10 16:00,MR-S | IN:MR,1.60962,0.2,0.321924,0.0002,0.06,0,0.001,0.17,-0.0002,-0.05,-0.08,0.00,6
251,Exit short,2026-06-11 13:00,RUN EXIT | IN:MR | OUT:MR,1.61051,0.8,1.287696,-0.001,-0.06,0,0.002,0.17,-0.001,-0.07,-0.08,0.00,21
251,Entry short,2026-06-10 16:00,MR-S | IN:MR,1.60962,0.8,1.287696,-0.001,-0.06,0,0.002,0.17,-0.001,-0.07,-0.08,0.00,21
252,Exit short,2026-06-15 16:00,MR FAIL | IN:HYBRID | OUT:HYBRID,1.62175,1,1.6165,-0.01,-0.32,0,0.0002,0.01,-0.01,-0.38,-0.09,0.00,19
252,Entry short,2026-06-12 21:00,MR-S | IN:HYBRID,1.6165,1,1.6165,-0.01,-0.32,0,0.0002,0.01,-0.01,-0.38,-0.09,0.00,19
253,Exit long,2026-06-16 01:00,TF EXIT | IN:HYBRID | OUT:HYBRID,1.62168,1,1.62175,-0.0001,0.00,0,0.003,0.16,-0.0003,-0.02,-0.09,0.00,9
253,Entry long,2026-06-15 16:00,TF-L | IN:HYBRID,1.62175,1,1.62175,-0.0001,0.00,0,0.003,0.16,-0.0003,-0.02,-0.09,0.00,9
254,Exit short,2026-06-16 12:00,MR FAIL | IN:HYBRID | OUT:MR,1.6222,1,1.62168,-0.001,-0.03,0,0.001,0.05,-0.001,-0.06,-0.09,0.00,11
254,Entry short,2026-06-16 01:00,MR-S | IN:HYBRID,1.62168,1,1.62168,-0.001,-0.03,0,0.001,0.05,-0.001,-0.06,-0.09,0.00,11
255,Exit short,2026-06-18 17:00,MR TP1 | IN:HYBRID | OUT:MR,1.61875,0.2,0.325076,0.001,0.41,0,0.001,0.41,-0.0003,-0.10,-0.09,0.00,31
255,Entry short,2026-06-17 10:00,MR-S | IN:HYBRID,1.62538,0.2,0.325076,0.001,0.41,0,0.001,0.41,-0.0003,-0.10,-0.09,0.00,31
256,Exit short,2026-06-19 18:00,RUN EXIT | IN:HYBRID | OUT:MR,1.6216,0.8,1.300304,0.003,0.23,0,0.01,0.56,-0.001,-0.10,-0.08,0.00,56
256,Entry short,2026-06-17 10:00,MR-S | IN:HYBRID,1.62538,0.8,1.300304,0.003,0.23,0,0.01,0.56,-0.001,-0.10,-0.08,0.00,56
257,Exit short,2026-06-23 00:00,MR TP1 | IN:MR | OUT:TREND,1.61844,0.2,0.3243,0.001,0.19,0,0.001,0.21,-0.00004,-0.01,-0.08,0.00,5
257,Entry short,2026-06-22 19:00,MR-S | IN:MR,1.6215,0.2,0.3243,0.001,0.19,0,0.001,0.21,-0.00004,-0.01,-0.08,0.00,5
258,Exit short,2026-06-24 06:00,RUN EXIT | IN:MR | OUT:MR,1.61692,0.8,1.2972,0.004,0.28,0,0.01,0.42,-0.0002,-0.01,-0.08,0.00,35
258,Entry short,2026-06-22 19:00,MR-S | IN:MR,1.6215,0.8,1.2972,0.004,0.28,0,0.01,0.42,-0.0002,-0.01,-0.08,0.00,35
259,Exit long,2026-06-25 23:00,MR FAIL | IN:MR | OUT:MR,1.61382,1,1.61517,-0.001,-0.08,0,0.003,0.19,-0.001,-0.09,-0.08,0.00,24
259,Entry long,2026-06-24 23:00,MR-L | IN:MR,1.61517,1,1.61517,-0.001,-0.08,0,0.003,0.19,-0.001,-0.09,-0.08,0.00,24
260,Exit long,2026-06-26 20:00,MR TP1 | IN:MR | OUT:MR,1.61942,0.2,0.32348,0.0004,0.12,0,0.001,0.21,-0.0002,-0.05,-0.08,0.00,5
260,Entry long,2026-06-26 15:00,MR-L | IN:MR,1.6174,0.2,0.32348,0.0004,0.12,0,0.001,0.21,-0.0002,-0.05,-0.08,0.00,5
261,Exit long,2026-06-29 12:00,RUN EXIT | IN:MR | OUT:MR,1.6162,0.8,1.29392,-0.001,-0.07,0,0.003,0.21,-0.002,-0.18,-0.08,0.00,21
261,Entry long,2026-06-26 15:00,MR-L | IN:MR,1.6174,0.8,1.29392,-0.001,-0.07,0,0.003,0.21,-0.002,-0.18,-0.08,0.00,21
262,Exit short,2026-07-01 22:00,MR TP1 | IN:HYBRID | OUT:HYBRID,1.61714,0.2,0.324394,0.001,0.30,0,0.001,0.33,-0.0002,-0.06,-0.08,0.00,32
